city,zone,code,areas,name,party
連江縣,連江縣第01選區,09007-01,南竿鄉,,
連江縣,連江縣第02選區,09007-02,北竿鄉,,
連江縣,連江縣第03選區,09007-03,莒光鄉,,
連江縣,連江縣第04選區,09007-04,東引鄉,,
金門縣,金門縣第01選區,09020-01,金城鎮/金寧鄉/烏坵鄉,,
金門縣,金門縣第02選區,09020-02,金沙鎮/金湖鎮,,
金門縣,金門縣第03選區,09020-03,烈嶼鄉,,
宜蘭縣,宜蘭縣第01選區,10002-01,宜蘭市,,
宜蘭縣,宜蘭縣第02選區,10002-02,頭城鎮,,
宜蘭縣,宜蘭縣第03選區,10002-03,礁溪鄉,,
宜蘭縣,宜蘭縣第04選區,10002-04,員山鄉,,
宜蘭縣,宜蘭縣第05選區,10002-05,壯圍鄉,,
宜蘭縣,宜蘭縣第06選區,10002-06,羅東鎮,,
宜蘭縣,宜蘭縣第07選區,10002-07,五結鄉,,
宜蘭縣,宜蘭縣第08選區,10002-08,冬山鄉,,
宜蘭縣,宜蘭縣第09選區,10002-09,三星鄉/大同鄉,,
宜蘭縣,宜蘭縣第10選區,10002-10,南澳鄉/蘇澳鎮,,
新竹縣,新竹縣第01選區,10004-01,竹北市,,
新竹縣,新竹縣第02選區,10004-02,湖口鄉,,
新竹縣,新竹縣第03選區,10004-03,新豐鄉,,
新竹縣,新竹縣第04選區,10004-04,關西鎮,,
新竹縣,新竹縣第05選區,10004-05,新埔鎮,,
新竹縣,新竹縣第06選區,10004-06,尖石鄉/橫山鄉,,
新竹縣,新竹縣第07選區,10004-07,芎林鄉,,
新竹縣,新竹縣第08選區,10004-08,竹東鎮/五峰鄉,,
新竹縣,新竹縣第09選區,10004-09,寶山鄉,,
新竹縣,新竹縣第10選區,10004-10,北埔鄉/峨眉鄉,,
苗栗縣,苗栗縣第01選區,10005-01,公館鄉/頭屋鄉/苗栗市,,
苗栗縣,苗栗縣第02選區,10005-02,三義鄉/銅鑼鄉/西湖鄉,,
苗栗縣,苗栗縣第03選區,10005-03,苑裡鎮/通霄鎮,,
苗栗縣,苗栗縣第04選區,10005-04,後龍鎮/造橋鄉/竹南鎮,,
苗栗縣,苗栗縣第05選區,10005-05,南庄鄉/頭份市/三灣鄉,,
苗栗縣,苗栗縣第06選區,10005-06,卓蘭鎮/獅潭鄉/大湖鄉/泰安鄉,,
彰化縣,彰化縣第01選區,10007-01,芬園鄉/彰化市/花壇鄉,,
彰化縣,彰化縣第02選區,10007-02,福興鄉/秀水鄉/鹿港鎮,,
彰化縣,彰化縣第03選區,10007-03,和美鎮/伸港鄉/線西鄉,,
彰化縣,彰化縣第04選區,10007-04,員林市/永靖鄉/大村鄉,,
彰化縣,彰化縣第05選區,10007-05,埔鹽鄉/溪湖鎮/埔心鄉,,
彰化縣,彰化縣第06選區,10007-06,二水鄉/社頭鄉/田中鎮,,
彰化縣,彰化縣第07選區,10007-07,北斗鎮/埤頭鄉/溪州鄉/田尾鄉,,
彰化縣,彰化縣第08選區,10007-08,二林鎮/大城鄉/芳苑鄉/竹塘鄉,,
南投縣,南投縣第01選區,10008-01,名間鄉/南投市,,
南投縣,南投縣第02選區,10008-02,中寮鄉/草屯鎮,,
南投縣,南投縣第03選區,10008-03,水里鄉/信義鄉/集集鎮/魚池鄉,,
南投縣,南投縣第04選區,10008-04,竹山鎮/鹿谷鄉,,
南投縣,南投縣第05選區,10008-05,埔里鎮/國姓鄉/仁愛鄉,,
雲林縣,雲林縣第01選區,10009-01,林內鄉/斗六市/莿桐鄉,,
雲林縣,雲林縣第02選區,10009-02,斗南鎮/大埤鄉/古坑鄉,,
雲林縣,雲林縣第03選區,10009-03,褒忠鄉/元長鄉/虎尾鎮/土庫鎮,,
雲林縣,雲林縣第04選區,10009-04,西螺鎮/二崙鄉/崙背鄉,,
雲林縣,雲林縣第05選區,10009-05,麥寮鄉/臺西鄉/東勢鄉/四湖鄉,,
雲林縣,雲林縣第06選區,10009-06,口湖鄉/北港鎮/水林鄉,,
嘉義縣,嘉義縣第01選區,10010-01,水上鄉/太保市/鹿草鄉,,
嘉義縣,嘉義縣第02選區,10010-02,新港鄉/民雄鄉,,
嘉義縣,嘉義縣第03選區,10010-03,梅山鄉/大林鎮/溪口鄉,,
嘉義縣,嘉義縣第04選區,10010-04,東石鄉/六腳鄉/朴子市,,
嘉義縣,嘉義縣第05選區,10010-05,義竹鄉/布袋鎮,,
嘉義縣,嘉義縣第06選區,10010-06,竹崎鄉/番路鄉/阿里山鄉/中埔鄉/大埔鄉,,
屏東縣,屏東縣第01選區,10013-01,屏東市,,
屏東縣,屏東縣第02選區,10013-02,里港鄉/三地門鄉/麟洛鄉/鹽埔鄉/瑪家鄉/九如鄉/長治鄉/霧臺鄉/高樹鄉,,
屏東縣,屏東縣第03選區,10013-03,內埔鄉/來義鄉/潮州鎮/新埤鄉/萬巒鄉/竹田鄉/春日鄉/枋寮鄉/泰武鄉,,
屏東縣,屏東縣第04選區,10013-04,新園鄉/東港鎮/萬丹鄉,,
屏東縣,屏東縣第05選區,10013-05,佳冬鄉/林邊鄉/崁頂鄉/南州鄉,,
屏東縣,屏東縣第06選區,10013-06,滿州鄉/恆春鎮/獅子鄉/枋山鄉/車城鄉/牡丹鄉,,
屏東縣,屏東縣第07選區,10013-07,琉球鄉,,
臺東縣,臺東縣第01選區,10014-01,臺東市/蘭嶼鄉,,
臺東縣,臺東縣第02選區,10014-02,延平鄉/卑南鄉,,
臺東縣,臺東縣第03選區,10014-03,成功鎮/長濱鄉/東河鄉,,
臺東縣,臺東縣第04選區,10014-04,鹿野鄉/池上鄉/海端鄉/關山鎮,,
臺東縣,臺東縣第05選區,10014-05,金峰鄉/大武鄉/太麻里鄉/達仁鄉,,
臺東縣,臺東縣第06選區,10014-06,綠島鄉,,
花蓮縣,花蓮縣第01選區,10015-01,花蓮市,,
花蓮縣,花蓮縣第02選區,10015-02,秀林鄉/新城鄉,,
花蓮縣,花蓮縣第03選區,10015-03,萬榮鄉/豐濱鄉/光復鄉/吉安鄉/鳳林鎮/壽豐鄉,,
花蓮縣,花蓮縣第04選區,10015-04,瑞穗鄉/玉里鎮/卓溪鄉/富里鄉,,
澎湖縣,澎湖縣第01選區,10016-01,馬公市,,
澎湖縣,澎湖縣第02選區,10016-02,湖西鄉,,
澎湖縣,澎湖縣第03選區,10016-03,白沙鄉,,
澎湖縣,澎湖縣第04選區,10016-04,西嶼鄉,,
澎湖縣,澎湖縣第05選區,10016-05,望安鄉,,
澎湖縣,澎湖縣第06選區,10016-06,七美鄉,,
基隆市,基隆市第01選區,10017-01,中正區,,
基隆市,基隆市第02選區,10017-02,信義區,,
基隆市,基隆市第03選區,10017-03,仁愛區,,
基隆市,基隆市第04選區,10017-04,中山區,,
基隆市,基隆市第05選區,10017-05,安樂區,,
基隆市,基隆市第06選區,10017-06,暖暖區,,
基隆市,基隆市第07選區,10017-07,七堵區,,
新竹市,新竹市第01選區,10018-01,東區,,
新竹市,新竹市第02選區,10018-02,東區,,
新竹市,新竹市第03選區,10018-03,北區,,
新竹市,新竹市第04選區,10018-04,北區,,
新竹市,新竹市第05選區,10018-05,香山區,,
嘉義市,嘉義市第01選區,10020-01,東區,,
嘉義市,嘉義市第02選區,10020-02,西區,,
臺北市,臺北市第01選區,63000-01,士林區/北投區,,
臺北市,臺北市第02選區,63000-02,內湖區/南港區,,
臺北市,臺北市第03選區,63000-03,信義區/松山區,,
臺北市,臺北市第04選區,63000-04,中山區/大同區,,
臺北市,臺北市第05選區,63000-05,中正區/萬華區,,
臺北市,臺北市第06選區,63000-06,文山區/大安區,,
高雄市,高雄市第01選區,64000-01,美濃區/桃源區/內門區/甲仙區/旗山區/那瑪夏區/茂林區/六龜區/杉林區,,
高雄市,高雄市第02選區,64000-02,阿蓮區/茄萣區/田寮區/路竹區/湖內區,,
高雄市,高雄市第03選區,64000-03,燕巢區/梓官區/彌陀區/橋頭區/岡山區/永安區,,
高雄市,高雄市第04選區,64000-04,楠梓區/左營區,,
