姓名,性別,出生年次,選舉類型,區域,推薦政黨,得票數,得票率,當選註記,是否現任
陳水扁,男,1951,1994-83年直轄市長選舉,臺北市,民主進步黨,615090,43.67%,*,否
-,-,-,1998-87年直轄市長選舉,臺北市,民主進步黨,688072,45.91%,,是
-,-,-,2000-第10任總統(副總統)選舉,全國,民主進步黨,4977697,39.30%,*,否
-,-,-,2004-第11任總統(副總統)選舉,全國,民主進步黨,6471970,50.11%,*,是
吳敦義,男,1948,1994-83年直轄市長選舉,高雄市,中國國民黨,400766,54.46%,*,是
-,-,-,1998-87年直轄市長選舉,高雄市,中國國民黨,383232,48.13%,,是
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",南投縣選舉區,中國國民黨,75042,30.35%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",南投縣選舉區,中國國民黨,59479,27.57%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",南投縣第01選區,中國國民黨,64295,67.12%,*,是
-,-,-,2012-第13任總統(副總統)選舉,全國,中國國民黨,6891139,51.60%,*,是
張俊雄,男,1938,1994-83年直轄市長選舉,高雄市,民主進步黨,289110,39.29%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",高雄市第2選區,民主進步黨,29859,9.99%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",高雄市第2選區,民主進步黨,49505,14.13%,*,是
鄭德耀,男,1951,1994-83年直轄市長選舉,高雄市,無,7513,1.02%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",高雄市第1選區,無,2041,0.56%,,否
-,-,-,"1996-第 03 屆國大代表選舉 > 區域",高雄市第一選區,無,8382,2.16%,,否
-,-,-,1997-86年縣市長選舉,高雄縣,無,10575,2.01%,,否
-,-,-,1998-87年直轄市長選舉,高雄市,無,18699,2.35%,,否
宋楚瑜,男,1942,1994-83年臺灣省長選舉,臺灣省,中國國民黨,4726012,56.22%,*,是
-,-,-,2000-第10任總統(副總統)選舉,全國,連署,4664972,36.84%,,否
-,-,-,2004-第11任總統(副總統)選舉,全國,中國國民黨,6442452,49.89%,,否
-,-,-,2006-95年直轄市長選舉,臺北市,無,53281,4.14%,,否
-,-,-,2012-第13任總統(副總統)選舉,全國,無黨籍及未經政黨推薦,369588,2.76%,,否
吳梓,男,1939,1994-83年臺灣省長選舉,臺灣省,無,25398,0.30%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",臺北縣選舉區,無,3438,0.24%,,否
陳定南,男,1943,1994-83年臺灣省長選舉,臺灣省,民主進步黨,3254887,38.72%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",宜蘭縣選舉區,民主進步黨,93644,54.84%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",宜蘭縣選舉區,民主進步黨,42099,22.81%,*,是
-,-,-,2005-94年縣市長選舉,宜蘭縣,民主進步黨,112853,47.75%,,否
楊泰順,男,1953,"1994-83年臺灣省議員選舉 > 區域",臺北縣,新黨,123448,8.09%,*,否
-,-,-,1997-86年縣市長選舉,臺北縣,新黨,32902,2.34%,,否
陳照郎,男,1942,"1994-83年臺灣省議員選舉 > 區域",臺北縣,中國國民黨,91420,5.99%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺北縣第2選區,中國國民黨,24257,4.78%,,否
劉炳偉,男,1952,"1994-83年臺灣省議員選舉 > 區域",臺北縣,中國國民黨,104669,6.86%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺北縣第1選區,中國國民黨,37100,8.97%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺北縣第1選區,中國國民黨,14133,2.84%,,是
周慧瑛,女,1955,"1994-83年臺灣省議員選舉 > 區域",臺北縣,民主進步黨,139741,9.15%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺北縣第2選區,民主進步黨,38076,7.50%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺北縣第2選區,民主進步黨,42754,7.11%,*,是
石瓊文,男,1950,"1994-83年臺灣省議員選舉 > 區域",臺北縣,無,7956,0.52%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",臺北縣選舉區,無,687,0.05%,,否
王兆釧,男,1946,"1994-83年臺灣省議員選舉 > 區域",臺北縣,民主進步黨,131712,8.63%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺北縣第3選區,民主進步黨,33422,7.12%,*,否
張金策,男,1942,"1994-83年臺灣省議員選舉 > 區域",臺北縣,民主進步黨,51261,3.36%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",臺北縣選舉區,無,7930,0.56%,,否
宋艾克,男,1953,"1994-83年臺灣省議員選舉 > 區域",臺北縣,新黨,115359,7.56%,*,否
-,-,-,1997-86年縣市長選舉,臺中市,新黨,26515,7.32%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺北縣第3選區,民主聯盟,7041,1.50%,,否
劉一德,男,1960,"1994-83年臺灣省議員選舉 > 區域",臺北縣,民主進步黨,58019,3.80%,,否
-,-,-,"1996-第 03 屆國大代表選舉 > 區域",臺北縣第七選區,民主進步黨,40814,22.06%,*,否
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",臺北縣第03選區,台灣團結聯盟,1645,1.08%,,否
張清芳,男,1952,"1994-83年臺灣省議員選舉 > 區域",臺北縣,民主進步黨,97369,6.38%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺北縣第1選區,民主進步黨,30405,7.35%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺北縣第1選區,民主進步黨,40921,8.21%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺北縣第1選區,民主進步黨,32115,7.44%,,是
蕭正用,男,1951,"1994-83年臺灣省議員選舉 > 區域",臺北縣,無,11789,0.77%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺北縣第2選區,無,763,0.15%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",臺北縣第五選區,無,5447,3.27%,,否
劉守成,男,1951,"1994-83年臺灣省議員選舉 > 區域",宜蘭縣,民主進步黨,116511,50.14%,*,是
-,-,-,1997-86年縣市長選舉,宜蘭縣,民主進步黨,122114,53.83%,*,否
-,-,-,2001-90年縣市長選舉,宜蘭縣,民主進步黨,106313,50.88%,*,是
盧逸峰,男,1962,"1994-83年臺灣省議員選舉 > 區域",宜蘭縣,中國國民黨,90120,38.79%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",宜蘭縣選舉區,中國國民黨,43284,23.46%,*,否
彭添富,男,1951,"1994-83年臺灣省議員選舉 > 區域",桃園縣,民主進步黨,70640,10.05%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",桃園縣選舉區,民主進步黨,28895,4.31%,,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",桃園縣選舉區,民主進步黨,68758,8.74%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",桃園縣選舉區,民主進步黨,37549,5.10%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",桃園縣第03選區,民主進步黨,49305,36.32%,,是
-,-,-,2010-第7屆立委桃園縣第2選區補選,第2選舉區,無,1760,1.90%,,否
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",桃園縣第05選區,民主進步黨,60887,35.13%,,否
藍照慶,男,1959,"1994-83年臺灣省議員選舉 > 區域",桃園縣,無,55965,7.97%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",雲林縣選舉區,新黨,8471,2.46%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",桃園縣選舉區,無,644,0.10%,,否
黃木添,男,1936,"1994-83年臺灣省議員選舉 > 區域",桃園縣,無,70769,10.07%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",桃園縣選舉區,中國國民黨,28926,4.31%,*,否
吳振寰,男,1954,"1994-83年臺灣省議員選舉 > 區域",桃園縣,中國國民黨,55559,7.91%,,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",桃園縣選舉區,親民黨,6778,0.86%,,否
許林翠粉,女,1959,"1994-83年臺灣省議員選舉 > 區域",桃園縣,民主進步黨,48112,6.85%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",桃園縣第五選區,民主進步黨,4908,15.83%,,否
邱創良,男,1955,"1994-83年臺灣省議員選舉 > 區域",桃園縣,中國國民黨,70231,10.00%,*,是
-,-,-,"1998-87年縣市議員選舉 > 區域",桃園縣第6選區,中國國民黨,5575,17.86%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",桃園縣選舉區,無,38180,5.69%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",桃園縣選舉區,親民黨,38258,4.86%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",桃園縣選舉區,無黨團結聯盟,15689,2.13%,,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",桃園縣第06選區,民主進步黨,39660,32.40%,,否
張學舜,男,1960,"1994-83年臺灣省議員選舉 > 區域",新竹縣,民主進步黨,57239,29.16%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",新竹縣選舉區,民主進步黨,47172,28.29%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",新竹縣選舉區,民主進步黨,52175,25.56%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",新竹縣選舉區,民主進步黨,30243,16.06%,,是
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",新竹市第01選區,民主進步黨,95715,41.84%,,否
吳俊岸,男,1947,"1994-83年臺灣省議員選舉 > 區域",新竹縣,中國國民黨,45042,22.95%,,否
-,-,-,"1996-第 03 屆國大代表選舉 > 區域",新竹縣選區,中國國民黨,38126,18.91%,*,否
邱鏡淳,男,1949,"1994-83年臺灣省議員選舉 > 區域",新竹縣,中國國民黨,90230,45.97%,*,否
-,-,-,1997-86年縣市長選舉,新竹縣,無,59393,30.26%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",新竹縣選舉區,中國國民黨,49688,29.80%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",新竹縣選舉區,中國國民黨,64673,31.69%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",新竹縣選舉區,中國國民黨,39626,21.05%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",新竹縣第01選區,中國國民黨,127892,66.52%,*,是
-,-,-,2009-98年縣市長選舉,新竹縣,中國國民黨,97151,38.48%,*,否
顏培元,男,1951,"1994-83年臺灣省議員選舉 > 區域",苗栗縣,無,3630,1.27%,,否
-,-,-,"1996-第 03 屆國大代表選舉 > 區域",新竹市選區,先進黨,308,0.18%,,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",苗栗縣選舉區,無,845,0.33%,,否
-,-,-,2005-94年縣市長選舉,苗栗縣,無,3061,1.09%,,否
陳秀龍,男,1937,"1994-83年臺灣省議員選舉 > 區域",苗栗縣,無,17786,6.24%,,否
-,-,-,2005-94年縣市長選舉,苗栗縣,無,9718,3.47%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",苗栗縣第05選區,無黨籍及未經政黨推薦,2895,5.48%,,否
傅學鵬,男,1951,"1994-83年臺灣省議員選舉 > 區域",苗栗縣,中國國民黨,59423,20.85%,*,否
-,-,-,1997-86年縣市長選舉,苗栗縣,無,153528,54.80%,*,否
-,-,-,2001-90年縣市長選舉,苗栗縣,無,135786,51.80%,*,是
林久翔,男,1963,"1994-83年臺灣省議員選舉 > 區域",苗栗縣,中國國民黨,43599,15.30%,*,否
