area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num
臺北市北投區建民里,1,陳運廣,無黨籍及未經政黨推薦,m,0521115,51,台北市,高中,N,N,822
臺北市北投區建民里,2,黃志立,無黨籍及未經政黨推薦,m,0481206,54,台北市,其他,Y,Y,1612
臺北市北投區文林里,1,劉憲昌,無黨籍及未經政黨推薦,m,0350826,68,台北市,其他,Y,Y,1138
臺北市北投區文林里,2,林聖峰,天宙和平統一家庭黨,m,0670315,36,新北市,碩士,N,N,438
臺北市北投區文林里,3,魏隆傳,無黨籍及未經政黨推薦,m,0440906,59,台北市,高中,N,N,979
臺北市北投區石牌里,1,廖林阿里,中國國民黨,f,0390406,64,新北市,高中,N,N,1370
臺北市北投區石牌里,2,黃滿妹,無黨籍及未經政黨推薦,f,0480325,55,臺灣省,高中,Y,Y,1870
臺北市北投區福興里,1,蔡柳池,無黨籍及未經政黨推薦,m,0440123,59,台北市,高中,Y,Y,3504
臺北市北投區榮光里,1,莊國順,中國國民黨,m,0501012,53,臺灣省,其他,N,N,601
臺北市北投區榮光里,2,田志鴻,民主進步黨,m,0470423,56,台北市,高中,N,N,1034
臺北市北投區榮光里,3,卓建隆,無黨籍及未經政黨推薦,m,0590417,44,台北市,其他,N,N,761
臺北市北投區榮光里,4,蘇寶鈴,無黨籍及未經政黨推薦,f,0400318,63,臺灣省,高中,Y,Y,1760
臺北市北投區榮華里,1,何漢清,中國國民黨,m,0421204,60,台北市,高中,Y,Y,2216
臺北市北投區榮華里,2,翁榮植,無黨籍及未經政黨推薦,m,0401207,62,台北市,其他,N,N,1811
臺北市北投區榮華里,3,陳柏甫,無黨籍及未經政黨推薦,m,0690409,34,台北市,高中,N,N,408
臺北市北投區裕民里,1,鍾義春,中國國民黨,m,0350816,68,臺灣省,高中,Y,N,1966
臺北市北投區裕民里,2,莊振寧,無黨籍及未經政黨推薦,m,0570128,46,台北市,高中,N,Y,2390
臺北市北投區振華里,1,鄭芳燕,無黨籍及未經政黨推薦,f,0410416,62,台北市,專科,N,N,1949
臺北市北投區振華里,2,葉光四,中國國民黨,m,0320612,71,臺灣省,其他,Y,Y,2346
臺北市北投區永和里,1,林慧玲,無黨籍及未經政黨推薦,f,0500607,53,臺灣省,專科,N,Y,2540
臺北市北投區永和里,2,何榮助,中國國民黨,m,0340104,69,台北市,高中,Y,N,2349
臺北市北投區永欣里,1,潘萬生,中國國民黨,m,0460925,57,台北市,高中,Y,Y,3487
臺北市北投區永明里,1,何麗玲,中國國民黨,f,0531207,49,台北市,專科,Y,Y,2239
臺北市北投區東華里,1,蔡瑞崇,親民黨,m,0420327,61,台南市,高中,N,N,900
臺北市北投區東華里,2,袁大祥,中國國民黨,m,0500904,53,台北市,專科,Y,Y,1743
臺北市北投區吉利里,1,鄧國雄,無黨籍及未經政黨推薦,m,0310929,72,臺灣省,其他,N,N,1763
臺北市北投區吉利里,2,劉序剛,中國國民黨,m,0480215,55,台北市,專科,Y,Y,2108
臺北市北投區吉慶里,1,黃勝宗,無黨籍及未經政黨推薦,m,0400829,63,台南市,大學,Y,Y,2577
臺北市北投區尊賢里,1,潘同發,無黨籍及未經政黨推薦,m,0411212,61,台北市,其他,Y,Y,2156
臺北市北投區立賢里,1,邱福銀,無黨籍及未經政黨推薦,m,0481222,54,高雄市,專科,Y,Y,2598
臺北市北投區立農里,1,潘建榮,無黨籍及未經政黨推薦,m,0491124,54,台北市,高中,Y,Y,4506
臺北市北投區八仙里,1,黃永清,無黨籍及未經政黨推薦,m,0560819,47,台北市,其他,Y,Y,2875
臺北市北投區洲美里,1,顏娟娟,無黨籍及未經政黨推薦,f,0580303,45,台北市,高中,N,N,492
臺北市北投區洲美里,2,蘇府庭,無黨籍及未經政黨推薦,m,0471202,55,台北市,高中,N,Y,965
臺北市北投區奇岩里,1,侯務葵,人民民主陣線,f,0440614,59,台北市,碩士,N,N,419
臺北市北投區奇岩里,2,賴進利,民主進步黨,m,0480604,55,台北市,高中,N,Y,2626
臺北市北投區奇岩里,3,譚勝國,中國國民黨,m,0400702,63,台北市,專科,Y,N,2515
臺北市北投區清江里,1,陳茂昌,無黨籍及未經政黨推薦,m,0371130,65,台北市,其他,N,N,739
臺北市北投區清江里,2,李炳廉,中國國民黨,m,0430111,60,台北市,大學,N,Y,1429
臺北市北投區清江里,3,黃春霖,無黨籍及未經政黨推薦,m,0510826,52,台北市,其他,N,N,472
臺北市北投區清江里,4,陳秀菊,無黨籍及未經政黨推薦,f,0480326,55,台北市,高中,N,N,579
臺北市北投區清江里,5,李健裕,人民民主陣線,m,0660529,37,台北市,碩士,N,N,206
臺北市北投區清江里,6,張宏宇,無黨籍及未經政黨推薦,m,0490619,54,台北市,高中,N,N,233
臺北市北投區清江里,7,杜耀楠,無黨籍及未經政黨推薦,m,0670523,36,台北市,大學,N,N,1021
臺北市北投區清江里,8,黃榮隆,無黨籍及未經政黨推薦,m,0350504,68,台北市,其他,N,N,71
臺北市北投區清江里,9,陳志忠,無黨籍及未經政黨推薦,m,0450411,58,台北市,大學,N,N,50
臺北市北投區清江里,10,黃怡雄,無黨籍及未經政黨推薦,m,0650822,38,台北市,大學,N,N,191
臺北市北投區中央里,1,周霈鴻,無黨籍及未經政黨推薦,m,0780207,25,新北市,專科,N,N,1656
臺北市北投區中央里,2,陳國樑,無黨籍及未經政黨推薦,m,0511109,52,台北市,高中,N,Y,2371
臺北市北投區中央里,3,陳金萬,無黨籍及未經政黨推薦,m,0530110,50,台北市,高中,N,N,1036
臺北市北投區長安里,1,陳章生,無黨籍及未經政黨推薦,m,0431114,60,台北市,高中,Y,Y,2830
臺北市北投區大同里,1,陳桂炎,中國國民黨,m,0381218,64,台北市,其他,N,N,600
臺北市北投區大同里,2,黃照鍾,無黨籍及未經政黨推薦,m,0500625,53,台北市,專科,N,N,1139
臺北市北投區大同里,3,王錫海,無黨籍及未經政黨推薦,m,0461105,57,台北市,高中,Y,Y,1642
臺北市北投區溫泉里,1,許榮宗,無黨籍及未經政黨推薦,m,0440216,59,台北市,高中,N,N,192
