party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,710696,749207,737394,,286278,67259,228614,250198,172925,,,,,,
民主進步黨,119820,112267,67720,711557,367518,433684,448577,382633,372737,,,,,,
中國國民黨,92602,66039,38172,264536,312874,387731,272235,281642,230143,,,,,,
台灣團結聯盟,122,,,,,,23002,13533,7248,,,,,,
樹黨,,,,,,,2172,,,,,,,,
臺灣人民共產黨,,,,,,,,1002,,,,,,,
基進黨,,,,,,,,19221,,,,,,,
時代力量,,,,,,,,9241,9829,,,,,,
親民黨,,,,,,,,3571,,,,,,,
台灣民眾黨,,,1485,,,,,,20759,,,,,,
台灣基進,,,,,,,,,26315,,,,,,
無黨團結聯盟,,,,,,,,,45693,,,,,,
小民參政歐巴桑聯盟,,,,,,,,,3540,,,,,,
