party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,128890,203009,206670,140512,5168,10960,82560,96957,77785,113689,164110,151838,96805,125601,102911
中國國民黨,130003,70941,42532,124309,107877,163662,152187,120957,117851,135198,98972,81041,157398,146150,110280
民主進步黨,,,,,78170,83683,21795,24384,35339,5682,6116,9152,2504,2946,32563
勞動黨,,,,,,,5827,10247,5273,1249,1662,3755,,,6625
綠黨,,,,,,,4402,5567,4196,,1927,2120,,,
中華統一促進黨,,,315,,,,,,,1650,,,,,
樹黨,,,,,,,,1624,,3844,939,,,,
親民黨,,184,,,,,,,,,269,,,,
時代力量,,,,,,,,4766,4259,,,,,,
民國黨,,,,,91190,,,14059,,,,,,,
台灣民眾黨,,,850,,,,,,12156,,,5476,,,5350
