party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,897810,1090703,925031,14925,22123,22979,133489,115842,106770,4156,5432,5725,2260,3969,5222
中國國民黨,228572,223575,147810,450647,892545,529607,500038,716588,517441,1757,871,412,2126,2318,446
民主進步黨,245600,244435,174314,993300,742239,766147,686758,599932,537662,,,,,,454
台灣團結聯盟,2093,1412,,,,,51625,44945,13428,,,,,,
台灣第一民族黨,,,,,,,,,,,,,1492,,
無黨團結聯盟,,,,,,,42649,43372,29450,,,,,,
新黨,,,,,,,2493,,,,,,,,
綠黨,,,,,,,7798,,,,,,,,
親民黨,,,,,,,23308,17438,,,,,,,
人民民主陣線,,,,,,,2243,,,,,,,,
左翼聯盟,,1097,,,,,,,1498,,,,,,
基進黨,,,,,,,,43169,,,,,,,
信心希望聯盟,,,,,,,,5754,,,,,,,
時代力量,,,78,,,,,43219,27497,,,,,,
台灣澎友黨,,,329,,,,,,,,,,,,
台灣民眾黨,,,1730,,,,,,24192,,,,,,
台灣經濟發展黨,,,86,,,,,,,,,,,,
新生黨,,,14,,,,,,,,,,,,
公民黨,,,31,,,,,,,,,,,,
台灣基進,,,,,,,,,48259,,,,,,
小民參政歐巴桑聯盟,,,,,,,,,3490,,,,,,
