地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
連江縣南竿鄉,陳振國,1,男,1958,中國國民黨,2005,53.86%,*,否
連江縣南竿鄉,林樹清,2,男,1969,無黨籍及未經政黨推薦,835,22.43%,,否
連江縣南竿鄉,曹容華,3,女,1964,中國國民黨,882,23.69%,,否
連江縣北竿鄉,吳金平,1,男,1965,中國國民黨,585,44.48%,,否
連江縣北竿鄉,陳如嵐,2,男,1970,中國國民黨,730,55.51%,*,否
連江縣莒光鄉,謝春欗,1,女,1960,中國國民黨,672,100.00%,*,否
連江縣東引鄉,楊雲成,1,男,1963,中國國民黨,438,54.27%,*,否
連江縣東引鄉,林德建,2,男,1971,中國國民黨,369,45.72%,,否
金門縣金城鎮,石兆瑉,1,男,1962,中國國民黨,7826,54.12%,*,是
金門縣金城鎮,歐陽彥木,2,男,1961,無黨籍及未經政黨推薦,6633,45.87%,,否
金門縣金沙鎮,陳其德,1,男,1969,中國國民黨,5547,100.00%,*,否
金門縣金湖鎮,林長鴻,1,男,1967,中國國民黨,3251,33.87%,,否
金門縣金湖鎮,蔡西湖,2,男,1959,中國國民黨,6345,66.12%,*,是
金門縣金寧鄉,楊忠俊,1,男,1968,無黨籍及未經政黨推薦,3228,34.18%,,否
金門縣金寧鄉,陳成勇,2,男,1962,中國國民黨,6214,65.81%,*,是
金門縣烈嶼鄉,洪成發,1,男,1952,中國國民黨,3752,100.00%,*,是
金門縣烏坵鄉,蔡永富,1,男,1971,中國國民黨,226,66.66%,*,否
金門縣烏坵鄉,陳金城,2,男,1961,無黨籍及未經政黨推薦,113,33.33%,,否
宜蘭縣宜蘭市,呂金宏,1,男,1948,中國國民黨,11659,24.10%,,否
宜蘭縣宜蘭市,賴瑞鼎,2,男,1955,無黨籍及未經政黨推薦,14793,30.58%,,否
宜蘭縣宜蘭市,江聰淵,3,男,1969,民主進步黨,21921,45.31%,*,否
宜蘭縣羅東鎮,林姿妙,1,女,1952,中國國民黨,19745,57.01%,*,是
宜蘭縣羅東鎮,林世奇,2,男,1968,民主進步黨,14888,42.98%,,否
宜蘭縣蘇澳鎮,歐進義,1,男,1961,民主進步黨,9717,41.07%,,否
宜蘭縣蘇澳鎮,陳金麟,2,男,1954,中國國民黨,13937,58.92%,*,否
宜蘭縣頭城鎮,蔡文益,1,男,1972,中國國民黨,7547,41.11%,,否
宜蘭縣頭城鎮,曹乾舜,2,男,1957,無黨籍及未經政黨推薦,10253,55.85%,*,否
宜蘭縣頭城鎮,林勇樂,3,男,1961,無黨籍及未經政黨推薦,556,3.02%,,否
宜蘭縣礁溪鄉,林錫忠,1,男,1953,民主進步黨,11867,54.64%,*,是
宜蘭縣礁溪鄉,林蔡焜,2,男,1968,中國國民黨,9850,45.35%,,否
宜蘭縣壯圍鄉,簡文魁,1,男,1956,中國國民黨,8712,56.55%,*,是
宜蘭縣壯圍鄉,邱振來,2,男,1962,民主進步黨,6692,43.44%,,否
宜蘭縣員山鄉,江永和,1,男,1959,民主進步黨,15745,100.00%,*,是
宜蘭縣冬山鄉,陳炯瑉,1,男,1966,中國國民黨,6415,23.68%,,否
宜蘭縣冬山鄉,謝燦輝,2,男,1958,民主進步黨,20667,76.31%,*,是
宜蘭縣五結鄉,簡松樹,1,男,1965,民主進步黨,11394,54.12%,*,是
宜蘭縣五結鄉,林義剛,2,男,1953,中國國民黨,9658,45.87%,,否
宜蘭縣三星鄉,黃錫墉,1,男,1958,民主進步黨,8313,65.84%,*,是
宜蘭縣三星鄉,林永爍,2,男,1951,中國國民黨,4313,34.15%,,否
宜蘭縣大同鄉,陳成功,1,男,1963,中國國民黨,2235,58.90%,*,是
宜蘭縣大同鄉,王大福,2,男,1951,無黨籍及未經政黨推薦,1559,41.09%,,否
宜蘭縣南澳鄉,豊張述,1,男,1964,無黨籍及未經政黨推薦,483,12.89%,,否
宜蘭縣南澳鄉,蔡世光,2,男,1959,中國國民黨,750,20.02%,,否
宜蘭縣南澳鄉,薛秋花,3,女,1966,無黨籍及未經政黨推薦,1345,35.91%,*,否
宜蘭縣南澳鄉,林長輝,4,男,1952,無黨籍及未經政黨推薦,1167,31.16%,,否
新竹縣竹北市,何淦銘,1,男,1959,無黨籍及未經政黨推薦,48331,69.60%,*,否
新竹縣竹北市,張碧琴,2,女,1965,中國國民黨,21104,30.39%,,否
新竹縣竹東鎮,徐兆璋,1,男,1954,中國國民黨,39807,100.00%,*,是
新竹縣新埔鎮,陳英樓,1,男,1956,中國國民黨,8409,42.08%,,否
新竹縣新埔鎮,林保祿,2,男,1957,無黨籍及未經政黨推薦,11570,57.91%,*,否
新竹縣關西鎮,陳耀湘,1,男,1946,中國國民黨,8333,45.40%,,否
新竹縣關西鎮,曾錦祥,2,男,1952,無黨籍及未經政黨推薦,779,4.24%,,否
新竹縣關西鎮,吳發仁,3,男,1956,無黨籍及未經政黨推薦,9241,50.35%,*,是
新竹縣湖口鄉,林志華,1,男,1965,中國國民黨,25559,66.83%,*,否
新竹縣湖口鄉,陳基曜,2,男,1968,無黨籍及未經政黨推薦,4555,11.91%,,否
新竹縣湖口鄉,羅世洞,3,男,1945,無黨籍及未經政黨推薦,8126,21.25%,,否
新竹縣新豐鄉,徐茂淦,1,男,1955,中國國民黨,24402,100.00%,*,是
新竹縣芎林鄉,莊雲嬌,1,女,1941,中國國民黨,6461,54.21%,*,是
新竹縣芎林鄉,劉展原,2,男,1958,無黨籍及未經政黨推薦,5457,45.78%,,否
新竹縣橫山鄉,古榮耀,1,男,1952,中國國民黨,7336,100.00%,*,是
新竹縣北埔鄉,陳慶德,1,男,1957,無黨籍及未經政黨推薦,1340,21.72%,,否
新竹縣北埔鄉,姜良明,2,男,1954,民主進步黨,2504,40.59%,*,否
新竹縣北埔鄉,涂春海,3,男,1954,中國國民黨,2324,37.67%,,是
新竹縣寶山鄉,邱坤桶,1,男,1961,中國國民黨,4541,53.49%,*,否
新竹縣寶山鄉,范玉燕,2,女,1956,無黨籍及未經政黨推薦,3947,46.50%,,是
新竹縣峨眉鄉,江寧增,1,男,1962,中國國民黨,2945,71.34%,*,是
新竹縣峨眉鄉,郭光熙,2,男,1947,無黨籍及未經政黨推薦,1183,28.65%,,否
新竹縣尖石鄉,雲天寶,1,男,1954,中國國民黨,2833,53.43%,*,是
新竹縣尖石鄉,曾國大,2,男,1969,中國國民黨,2389,45.05%,,否
新竹縣尖石鄉,邱文生,3,男,1950,無黨籍及未經政黨推薦,80,1.50%,,否
新竹縣五峰鄉,葛忠義,1,男,1958,中國國民黨,955,30.30%,,否
新竹縣五峰鄉,秋振昌,2,男,1953,無黨籍及未經政黨推薦,1171,37.16%,*,否
新竹縣五峰鄉,羅俊敏,3,男,1960,無黨籍及未經政黨推薦,330,10.47%,,否
新竹縣五峰鄉,陳世文,4,男,1952,無黨籍及未經政黨推薦,695,22.05%,,否
苗栗縣苗栗市,邱其煌,1,男,1949,無黨籍及未經政黨推薦,12192,26.57%,,否
苗栗縣苗栗市,邱炳坤,2,男,1950,無黨籍及未經政黨推薦,33690,73.42%,*,是
苗栗縣苑裡鎮,張顧礫,1,男,1971,無黨籍及未經政黨推薦,9706,35.30%,,否
苗栗縣苑裡鎮,杜文卿,2,男,1954,無黨籍及未經政黨推薦,17783,64.69%,*,是
苗栗縣通霄鎮,徐永煌,1,男,1970,無黨籍及未經政黨推薦,12289,56.74%,*,是
苗栗縣通霄鎮,巫恒昭,2,男,1963,無黨籍及未經政黨推薦,9367,43.25%,,否
苗栗縣竹南鎮,陳冠興,1,男,1952,中國國民黨,13377,31.97%,,否
苗栗縣竹南鎮,康世明,2,男,1969,無黨籍及未經政黨推薦,28454,68.02%,*,是
苗栗縣頭份鎮,黃盛和,1,男,1954,中國國民黨,23015,46.35%,,否
苗栗縣頭份鎮,徐定禎,2,男,1961,無黨籍及未經政黨推薦,26635,53.64%,*,是
苗栗縣後龍鎮,朱秋隆,1,男,1960,中國國民黨,11523,52.51%,*,否
苗栗縣後龍鎮,蔡坤松,2,男,1963,無黨籍及未經政黨推薦,10419,47.48%,,否
苗栗縣卓蘭鎮,詹坤金,1,男,1964,中國國民黨,6752,58.64%,*,否
苗栗縣卓蘭鎮,詹明光,2,男,1950,中國國民黨,4762,41.35%,,是
苗栗縣大湖鄉,陳永福,1,男,1952,中國國民黨,4368,44.15%,,是
苗栗縣大湖鄉,胡娘妹,2,女,1956,中國國民黨,5524,55.84%,*,否
苗栗縣公館鄉,賴源順,1,男,1953,無黨籍及未經政黨推薦,7338,36.90%,,否
苗栗縣公館鄉,曾美露,2,女,1955,中國國民黨,12543,63.09%,*,否
苗栗縣銅鑼鄉,謝其全,1,男,1953,中國國民黨,6276,56.65%,*,是
苗栗縣銅鑼鄉,謝昌年,2,男,1966,無黨籍及未經政黨推薦,4801,43.34%,,否
苗栗縣南庄鄉,賴盛為,1,男,1948,中國國民黨,3566,54.92%,*,是
苗栗縣南庄鄉,李清枝,2,男,1956,中國國民黨,2927,45.07%,,否
苗栗縣頭屋鄉,江村貴,1,男,1963,中國國民黨,3768,50.44%,*,是
苗栗縣頭屋鄉,楊謝國,2,男,1958,無黨籍及未經政黨推薦,3702,49.55%,,否
苗栗縣三義鄉,鄭淑如,1,女,1964,無黨籍及未經政黨推薦,4623,44.70%,,否
苗栗縣三義鄉,徐文達,2,男,1958,中國國民黨,5719,55.29%,*,是
苗栗縣西湖鄉,李文林,1,男,1949,中國國民黨,2567,49.02%,,是
苗栗縣西湖鄉,古木賢,2,男,1957,無黨籍及未經政黨推薦,2669,50.97%,*,否
苗栗縣造橋鄉,黃純德,1,男,1957,中國國民黨,6862,100.00%,*,是
苗栗縣三灣鄉,溫志強,1,男,1970,中國國民黨,2201,46.19%,*,否
苗栗縣三灣鄉,梁召明,2,男,1965,中國國民黨,1370,28.75%,,否
苗栗縣三灣鄉,李聲生,3,男,1962,中國國民黨,1194,25.05%,,否
苗栗縣獅潭鄉,賴癸章,1,男,1945,中國國民黨,1797,54.76%,*,是
苗栗縣獅潭鄉,黃媋蘭,2,女,1953,無黨籍及未經政黨推薦,1484,45.23%,,否
苗栗縣泰安鄉,劉美蘭,1,女,1962,無黨籍及未經政黨推薦,1660,38.77%,*,否
苗栗縣泰安鄉,陳吉基,2,男,1970,中國國民黨,1434,33.49%,,否
苗栗縣泰安鄉,楊政孝,3,男,1971,中國國民黨,1187,27.72%,,否
彰化縣彰化市,邱建富,1,男,1960,民主進步黨,70703,56.86%,*,是
彰化縣彰化市,林士聖,2,男,1963,中國國民黨,53632,43.13%,,否
彰化縣鹿港鎮,許明輝,1,男,1958,中國國民黨,16727,35.37%,,否
彰化縣鹿港鎮,黃振彥,2,男,1965,民主進步黨,30552,64.62%,*,是
彰化縣和美鎮,林招膨,1,男,1959,台灣團結聯盟,2696,5.51%,,否
彰化縣和美鎮,阮厚爵,2,男,1970,中國國民黨,22088,45.17%,*,否
彰化縣和美鎮,郭德勝,3,男,1948,無黨籍及未經政黨推薦,13002,26.59%,,否
彰化縣和美鎮,謝火煉,4,男,1950,無黨籍及未經政黨推薦,11109,22.72%,,否
彰化縣線西鄉,黃寶川,1,男,1954,中國國民黨,2593,26.19%,,否
