地區,政黨,號次,得票數,得票率
臺北市北投區建民里,台灣團結聯盟,1,74,9.56%
臺北市北投區建民里,建國黨,2,2,0.26%
臺北市北投區建民里,中國民眾黨,3,7,0.90%
臺北市北投區建民里,無黨團結聯盟,4,1,0.13%
臺北市北投區建民里,親民黨,5,44,5.68%
臺北市北投區建民里,新黨,6,3,0.39%
臺北市北投區建民里,農民黨,7,2,0.26%
臺北市北投區建民里,民主進步黨,8,416,53.75%
臺北市北投區建民里,公民黨,9,1,0.13%
臺北市北投區建民里,中國國民黨,10,199,25.71%
臺北市北投區建民里,張亞中等150人聯盟,11,23,2.97%
臺北市北投區建民里,王廷興等20人聯盟,12,2,0.26%
臺北市北投區文林里,台灣團結聯盟,1,76,8.54%
臺北市北投區文林里,建國黨,2,4,0.45%
臺北市北投區文林里,中國民眾黨,3,8,0.90%
臺北市北投區文林里,無黨團結聯盟,4,0,0.00%
臺北市北投區文林里,親民黨,5,39,4.38%
臺北市北投區文林里,新黨,6,7,0.79%
臺北市北投區文林里,農民黨,7,1,0.11%
臺北市北投區文林里,民主進步黨,8,435,48.88%
臺北市北投區文林里,公民黨,9,1,0.11%
臺北市北投區文林里,中國國民黨,10,303,34.04%
臺北市北投區文林里,張亞中等150人聯盟,11,14,1.57%
臺北市北投區文林里,王廷興等20人聯盟,12,2,0.22%
臺北市北投區石牌里,台灣團結聯盟,1,92,8.80%
臺北市北投區石牌里,建國黨,2,1,0.10%
臺北市北投區石牌里,中國民眾黨,3,11,1.05%
臺北市北投區石牌里,無黨團結聯盟,4,1,0.10%
臺北市北投區石牌里,親民黨,5,42,4.02%
臺北市北投區石牌里,新黨,6,4,0.38%
臺北市北投區石牌里,農民黨,7,1,0.10%
臺北市北投區石牌里,民主進步黨,8,497,47.51%
臺北市北投區石牌里,公民黨,9,2,0.19%
臺北市北投區石牌里,中國國民黨,10,366,34.99%
臺北市北投區石牌里,張亞中等150人聯盟,11,27,2.58%
臺北市北投區石牌里,王廷興等20人聯盟,12,2,0.19%
臺北市北投區福興里,台灣團結聯盟,1,117,7.57%
臺北市北投區福興里,建國黨,2,4,0.26%
臺北市北投區福興里,中國民眾黨,3,13,0.84%
臺北市北投區福興里,無黨團結聯盟,4,2,0.13%
臺北市北投區福興里,親民黨,5,88,5.69%
臺北市北投區福興里,新黨,6,22,1.42%
臺北市北投區福興里,農民黨,7,2,0.13%
臺北市北投區福興里,民主進步黨,8,666,43.08%
臺北市北投區福興里,公民黨,9,2,0.13%
臺北市北投區福興里,中國國民黨,10,598,38.68%
臺北市北投區福興里,張亞中等150人聯盟,11,28,1.81%
臺北市北投區福興里,王廷興等20人聯盟,12,4,0.26%
臺北市北投區榮光里,台灣團結聯盟,1,82,6.09%
臺北市北投區榮光里,建國黨,2,2,0.15%
臺北市北投區榮光里,中國民眾黨,3,17,1.26%
臺北市北投區榮光里,無黨團結聯盟,4,1,0.07%
臺北市北投區榮光里,親民黨,5,79,5.86%
臺北市北投區榮光里,新黨,6,15,1.11%
臺北市北投區榮光里,農民黨,7,4,0.30%
臺北市北投區榮光里,民主進步黨,8,565,41.95%
臺北市北投區榮光里,公民黨,9,4,0.30%
臺北市北投區榮光里,中國國民黨,10,543,40.31%
臺北市北投區榮光里,張亞中等150人聯盟,11,33,2.45%
臺北市北投區榮光里,王廷興等20人聯盟,12,2,0.15%
臺北市北投區榮華里,台灣團結聯盟,1,143,8.67%
臺北市北投區榮華里,建國黨,2,1,0.06%
臺北市北投區榮華里,中國民眾黨,3,16,0.97%
臺北市北投區榮華里,無黨團結聯盟,4,4,0.24%
臺北市北投區榮華里,親民黨,5,73,4.42%
臺北市北投區榮華里,新黨,6,38,2.30%
臺北市北投區榮華里,農民黨,7,2,0.12%
臺北市北投區榮華里,民主進步黨,8,602,36.48%
臺北市北投區榮華里,公民黨,9,3,0.18%
臺北市北投區榮華里,中國國民黨,10,718,43.52%
臺北市北投區榮華里,張亞中等150人聯盟,11,44,2.67%
臺北市北投區榮華里,王廷興等20人聯盟,12,6,0.36%
臺北市北投區裕民里,台灣團結聯盟,1,112,7.83%
臺北市北投區裕民里,建國黨,2,4,0.28%
臺北市北投區裕民里,中國民眾黨,3,18,1.26%
臺北市北投區裕民里,無黨團結聯盟,4,2,0.14%
臺北市北投區裕民里,親民黨,5,111,7.76%
臺北市北投區裕民里,新黨,6,17,1.19%
臺北市北投區裕民里,農民黨,7,1,0.07%
臺北市北投區裕民里,民主進步黨,8,562,39.30%
臺北市北投區裕民里,公民黨,9,4,0.28%
臺北市北投區裕民里,中國國民黨,10,567,39.65%
臺北市北投區裕民里,張亞中等150人聯盟,11,29,2.03%
臺北市北投區裕民里,王廷興等20人聯盟,12,3,0.21%
臺北市北投區振華里,台灣團結聯盟,1,172,9.14%
臺北市北投區振華里,建國黨,2,3,0.16%
臺北市北投區振華里,中國民眾黨,3,25,1.33%
臺北市北投區振華里,無黨團結聯盟,4,1,0.05%
臺北市北投區振華里,親民黨,5,113,6.00%
臺北市北投區振華里,新黨,6,43,2.28%
臺北市北投區振華里,農民黨,7,2,0.11%
臺北市北投區振華里,民主進步黨,8,688,36.56%
臺北市北投區振華里,公民黨,9,1,0.05%
臺北市北投區振華里,中國國民黨,10,756,40.17%
臺北市北投區振華里,張亞中等150人聯盟,11,75,3.99%
臺北市北投區振華里,王廷興等20人聯盟,12,3,0.16%
臺北市北投區永和里,台灣團結聯盟,1,182,10.16%
臺北市北投區永和里,建國黨,2,1,0.06%
臺北市北投區永和里,中國民眾黨,3,24,1.34%
臺北市北投區永和里,無黨團結聯盟,4,0,0.00%
臺北市北投區永和里,親民黨,5,115,6.42%
臺北市北投區永和里,新黨,6,32,1.79%
臺北市北投區永和里,農民黨,7,2,0.11%
臺北市北投區永和里,民主進步黨,8,767,42.83%
臺北市北投區永和里,公民黨,9,1,0.06%
