地區,政黨,號次,得票數,得票率
臺北市北投區,台灣團結聯盟,1,3666,7.85%
臺北市北投區,建國黨,2,103,0.22%
臺北市北投區,中國民眾黨,3,583,1.25%
臺北市北投區,無黨團結聯盟,4,92,0.20%
臺北市北投區,親民黨,5,2594,5.55%
臺北市北投區,新黨,6,744,1.59%
臺北市北投區,農民黨,7,81,0.17%
臺北市北投區,民主進步黨,8,19400,41.52%
臺北市北投區,公民黨,9,75,0.16%
臺北市北投區,中國國民黨,10,18191,38.93%
臺北市北投區,張亞中等150人聯盟,11,1125,2.41%
臺北市北投區,王廷興等20人聯盟,12,71,0.15%
臺北市士林區,台灣團結聯盟,1,4981,8.87%
臺北市士林區,建國黨,2,129,0.23%
臺北市士林區,中國民眾黨,3,646,1.15%
臺北市士林區,無黨團結聯盟,4,103,0.18%
臺北市士林區,親民黨,5,2912,5.19%
臺北市士林區,新黨,6,808,1.44%
臺北市士林區,農民黨,7,84,0.15%
臺北市士林區,民主進步黨,8,25206,44.91%
臺北市士林區,公民黨,9,96,0.17%
臺北市士林區,中國國民黨,10,19789,35.26%
臺北市士林區,張亞中等150人聯盟,11,1276,2.27%
臺北市士林區,王廷興等20人聯盟,12,100,0.18%
臺北市內湖區,台灣團結聯盟,1,2827,6.16%
臺北市內湖區,建國黨,2,67,0.15%
臺北市內湖區,中國民眾黨,3,664,1.45%
臺北市內湖區,無黨團結聯盟,4,95,0.21%
臺北市內湖區,親民黨,5,3054,6.65%
臺北市內湖區,新黨,6,1036,2.26%
臺北市內湖區,農民黨,7,63,0.14%
臺北市內湖區,民主進步黨,8,16730,36.44%
臺北市內湖區,公民黨,9,65,0.14%
臺北市內湖區,中國國民黨,10,19683,42.84%
臺北市內湖區,張亞中等150人聯盟,11,1542,3.36%
臺北市內湖區,王廷興等20人聯盟,12,90,0.20%
臺北市南港區,台灣團結聯盟,1,1269,6.05%
臺北市南港區,建國黨,2,51,0.24%
臺北市南港區,中國民眾黨,3,285,1.36%
臺北市南港區,無黨團結聯盟,4,53,0.25%
臺北市南港區,親民黨,5,1317,6.28%
臺北市南港區,新黨,6,338,1.61%
臺北市南港區,農民黨,7,40,0.19%
臺北市南港區,民主進步黨,8,8015,38.22%
臺北市南港區,公民黨,9,34,0.16%
臺北市南港區,中國國民黨,10,9029,43.07%
臺北市南港區,張亞中等150人聯盟,11,493,2.35%
臺北市南港區,王廷興等20人聯盟,12,46,0.22%
臺北市松山區,台灣團結聯盟,1,3304,7.17%
臺北市松山區,建國黨,2,107,0.23%
臺北市松山區,中國民眾黨,3,577,1.25%
臺北市松山區,無黨團結聯盟,4,73,0.16%
