地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
連江縣南竿鄉介壽村,陳美貴,1,男,1963,中國國民黨,726,63.07%,*,否
連江縣南竿鄉介壽村,陳建民,2,男,1963,中國國民黨,425,36.92%,,否
連江縣南竿鄉復興村,曹爾嵐,1,男,1956,中國國民黨,434,65.36%,*,否
連江縣南竿鄉復興村,曹常永,2,男,1959,中國國民黨,230,34.63%,,是
連江縣南竿鄉福沃村,陳泰英,1,男,1957,中國國民黨,427,100.00%,*,是
連江縣南竿鄉清水村,陳善安,1,男,1964,中國國民黨,350,100.00%,*,是
連江縣南竿鄉仁愛村,黃寶清,1,男,1966,中國國民黨,202,72.14%,*,否
連江縣南竿鄉仁愛村,陳國忠,2,男,1972,中國國民黨,78,27.85%,,否
連江縣南竿鄉津沙村,李木菁,1,男,1965,無黨籍及未經政黨推薦,118,57.00%,*,是
連江縣南竿鄉津沙村,劉用順,2,男,1962,無黨籍及未經政黨推薦,89,42.99%,,否
連江縣南竿鄉馬祖村,陳高玲,1,女,1960,中國國民黨,243,100.00%,*,是
連江縣南竿鄉珠螺村,陳常玉,1,男,1960,無黨籍及未經政黨推薦,62,61.38%,*,否
連江縣南竿鄉珠螺村,陳美蘭,2,女,1963,中國國民黨,39,38.61%,,是
連江縣南竿鄉四維村,林文斌,1,男,1958,無黨籍及未經政黨推薦,28,31.81%,,是
連江縣南竿鄉四維村,侯全寶,2,男,1955,中國國民黨,60,68.18%,*,否
連江縣北竿鄉塘岐村,陳嘉文,1,男,1970,中國國民黨,387,100.00%,*,是
連江縣北竿鄉后沃村,鄭禮頤,1,女,1978,無黨籍及未經政黨推薦,53,44.91%,,否
連江縣北竿鄉后沃村,陳鈺麟,2,男,1978,中國國民黨,65,55.08%,*,是
連江縣北竿鄉橋仔村,陳麗君,1,女,1963,中國國民黨,95,50.26%,*,否
連江縣北竿鄉橋仔村,黃鵬銓,2,男,1962,中國國民黨,94,49.73%,,否
連江縣北竿鄉芹壁村,陳世飛,1,男,1959,中國國民黨,100,100.00%,*,否
連江縣北竿鄉坂里村,王禮好,1,男,1953,中國國民黨,184,100.00%,*,否
連江縣北竿鄉白沙村,王若蓉,1,女,1960,中國國民黨,66,100.00%,*,是
連江縣莒光鄉青帆村,陳秉傑,1,男,1980,中國國民黨,217,100.00%,*,是
連江縣莒光鄉田沃村,林順雄,1,男,1952,中國國民黨,97,100.00%,*,是
連江縣莒光鄉西坵村,陳家信,1,男,1970,無黨籍及未經政黨推薦,34,100.00%,*,是
連江縣莒光鄉福正村,史麗彬,1,女,1961,中國國民黨,49,47.57%,,是
連江縣莒光鄉福正村,鄭光武,2,男,1963,中國國民黨,54,52.42%,*,否
連江縣莒光鄉大坪村,鄭智新,1,男,1967,中國國民黨,135,50.37%,*,否
連江縣莒光鄉大坪村,曹碧霞,2,女,1948,中國國民黨,133,49.62%,,否
連江縣東引鄉中柳村,劉家宏,1,男,1979,中國國民黨,335,100.00%,*,否
連江縣東引鄉樂華村,曹恆勇,1,男,1975,中國國民黨,234,54.92%,*,是
連江縣東引鄉樂華村,林增平,2,男,1966,中國國民黨,192,45.07%,,否
金門縣金城鎮東門里,蔡祥坤,1,男,1956,中國國民黨,1446,69.25%,*,是
金門縣金城鎮東門里,蕭永水,2,男,1949,中國國民黨,642,30.74%,,否
金門縣金城鎮西門里,楊雨川,1,男,1963,中國國民黨,3532,100.00%,*,是
金門縣金城鎮南門里,楊耀芸,1,男,1939,無黨籍及未經政黨推薦,2020,100.00%,*,是
金門縣金城鎮北門里,許績才,1,男,1972,中國國民黨,1495,100.00%,*,否
金門縣金城鎮古城里,董華安,1,男,1955,中國國民黨,749,53.12%,*,否
金門縣金城鎮古城里,陳承吉,2,男,1943,中國國民黨,661,46.87%,,否
金門縣金城鎮金水里,洪俊裕,1,男,1975,無黨籍及未經政黨推薦,282,34.64%,,否
金門縣金城鎮金水里,黃國民,2,男,1942,中國國民黨,532,65.35%,*,是
金門縣金城鎮珠沙里,戴德強,1,男,1953,無黨籍及未經政黨推薦,439,43.85%,,否
金門縣金城鎮珠沙里,歐贊隊,2,男,1938,中國國民黨,562,56.14%,*,是
金門縣金城鎮賢庵里,盧志嶢,1,男,1949,中國國民黨,1501,100.00%,*,是
金門縣金沙鎮汶沙里,張瀚龍,1,男,1969,中國國民黨,1899,100.00%,*,是
金門縣金沙鎮三山里,李賢慨,1,男,1959,中國國民黨,320,47.69%,,是
金門縣金沙鎮三山里,陳賜發,2,男,1965,中國國民黨,351,52.30%,*,否
金門縣金沙鎮大洋里,吳有泰,1,男,1960,中國國民黨,364,100.00%,*,是
金門縣金沙鎮光前里,黃文成,1,男,1970,中國國民黨,289,32.80%,,否
金門縣金沙鎮光前里,翁麗治,2,女,1966,中國國民黨,373,42.33%,*,是
金門縣金沙鎮光前里,陳文傑,3,男,1961,中國國民黨,219,24.85%,,否
