地區,姓名,號次,得票數,得票率
臺北市松山區,陳秀惠,1,59,43.38%
臺北市松山區,李銀來,2,77,56.62%
臺北市信義區,陳秀惠,1,106,44.17%
臺北市信義區,李銀來,2,134,55.83%
臺北市大安區,陳秀惠,1,84,39.81%
臺北市大安區,李銀來,2,127,60.19%
臺北市中山區,陳秀惠,1,65,31.40%
臺北市中山區,李銀來,2,142,68.60%
臺北市中正區,陳秀惠,1,21,19.09%
臺北市中正區,李銀來,2,89,80.91%
臺北市大同區,陳秀惠,1,28,30.43%
臺北市大同區,李銀來,2,64,69.57%
臺北市萬華區,陳秀惠,1,32,18.39%
臺北市萬華區,李銀來,2,142,81.61%
臺北市文山區,陳秀惠,1,119,32.08%
臺北市文山區,李銀來,2,252,67.92%
臺北市南港區,陳秀惠,1,164,37.19%
臺北市南港區,李銀來,2,277,62.81%
臺北市內湖區,陳秀惠,1,178,28.48%
臺北市內湖區,李銀來,2,447,71.52%
臺北市士林區,陳秀惠,1,87,33.33%
臺北市士林區,李銀來,2,174,66.67%
臺北市北投區,陳秀惠,1,119,41.03%
臺北市北投區,李銀來,2,171,58.97%
高雄市鹽埕區,撒卡伊,1,3,13.64%
高雄市鹽埕區,高玉生,2,3,13.64%
高雄市鹽埕區,曾夏娃,3,1,4.55%
高雄市鹽埕區,李建二,4,4,18.18%
高雄市鹽埕區,曾福三,5,5,22.73%
高雄市鹽埕區,張金水,6,1,4.55%
高雄市鹽埕區,潘秀利,7,2,9.09%
高雄市鹽埕區,高宇明,8,3,13.64%
高雄市鼓山區,撒卡伊,1,6,5.31%
高雄市鼓山區,高玉生,2,19,16.81%
高雄市鼓山區,曾夏娃,3,3,2.65%
高雄市鼓山區,李建二,4,18,15.93%
高雄市鼓山區,曾福三,5,47,41.59%
高雄市鼓山區,張金水,6,10,8.85%
高雄市鼓山區,潘秀利,7,7,6.19%
高雄市鼓山區,高宇明,8,3,2.65%
高雄市左營區,撒卡伊,1,34,12.83%
高雄市左營區,高玉生,2,21,7.92%
高雄市左營區,曾夏娃,3,8,3.02%
高雄市左營區,李建二,4,54,20.38%
高雄市左營區,曾福三,5,111,41.89%
高雄市左營區,張金水,6,15,5.66%
高雄市左營區,潘秀利,7,15,5.66%
高雄市左營區,高宇明,8,7,2.64%
高雄市楠梓區,撒卡伊,1,49,15.17%
高雄市楠梓區,高玉生,2,44,13.62%
高雄市楠梓區,曾夏娃,3,5,1.55%
高雄市楠梓區,李建二,4,60,18.58%
高雄市楠梓區,曾福三,5,105,32.51%
高雄市楠梓區,張金水,6,37,11.46%
高雄市楠梓區,潘秀利,7,16,4.95%
高雄市楠梓區,高宇明,8,7,2.17%
高雄市三民區,撒卡伊,1,32,16.49%
高雄市三民區,高玉生,2,33,17.01%
高雄市三民區,曾夏娃,3,8,4.12%
高雄市三民區,李建二,4,29,14.95%
高雄市三民區,曾福三,5,44,22.68%
高雄市三民區,張金水,6,23,11.86%
高雄市三民區,潘秀利,7,17,8.76%
高雄市三民區,高宇明,8,8,4.12%
高雄市新興區,撒卡伊,1,5,17.86%
高雄市新興區,高玉生,2,4,14.29%
高雄市新興區,曾夏娃,3,1,3.57%
高雄市新興區,李建二,4,4,14.29%
高雄市新興區,曾福三,5,8,28.57%
高雄市新興區,張金水,6,3,10.71%
高雄市新興區,潘秀利,7,1,3.57%
高雄市新興區,高宇明,8,2,7.14%
高雄市前金區,撒卡伊,1,1,10.00%
高雄市前金區,高玉生,2,2,20.00%
高雄市前金區,曾夏娃,3,1,10.00%
高雄市前金區,李建二,4,0,0.00%
高雄市前金區,曾福三,5,4,40.00%
高雄市前金區,張金水,6,2,20.00%
高雄市前金區,潘秀利,7,0,0.00%
高雄市前金區,高宇明,8,0,0.00%
高雄市苓雅區,撒卡伊,1,37,27.01%
高雄市苓雅區,高玉生,2,22,16.06%
高雄市苓雅區,曾夏娃,3,7,5.11%
高雄市苓雅區,李建二,4,14,10.22%
高雄市苓雅區,曾福三,5,27,19.71%
高雄市苓雅區,張金水,6,13,9.49%
高雄市苓雅區,潘秀利,7,9,6.57%
高雄市苓雅區,高宇明,8,8,5.84%
高雄市前鎮區,撒卡伊,1,44,5.91%
高雄市前鎮區,高玉生,2,238,31.99%
高雄市前鎮區,曾夏娃,3,8,1.08%
高雄市前鎮區,李建二,4,71,9.54%
高雄市前鎮區,曾福三,5,181,24.33%
高雄市前鎮區,張金水,6,152,20.43%
高雄市前鎮區,潘秀利,7,25,3.36%
高雄市前鎮區,高宇明,8,25,3.36%
高雄市旗津區,撒卡伊,1,1,2.17%
高雄市旗津區,高玉生,2,23,50.00%
高雄市旗津區,曾夏娃,3,1,2.17%
高雄市旗津區,李建二,4,1,2.17%
高雄市旗津區,曾福三,5,14,30.43%
高雄市旗津區,張金水,6,3,6.52%
高雄市旗津區,潘秀利,7,2,4.35%
高雄市旗津區,高宇明,8,1,2.17%
高雄市小港區,撒卡伊,1,37,4.56%
高雄市小港區,高玉生,2,171,21.06%
高雄市小港區,曾夏娃,3,8,0.99%
高雄市小港區,李建二,4,99,12.19%
高雄市小港區,曾福三,5,179,22.04%
高雄市小港區,張金水,6,252,31.03%
高雄市小港區,潘秀利,7,17,2.09%
高雄市小港區,高宇明,8,49,6.03%
