地區,姓名,號次,得票數,得票率
臺北市,莊金生,1,248,8.05%
臺北市,章仁香,2,432,14.03%
臺北市,楊仁福,3,471,15.29%
臺北市,林正二,4,280,9.09%
臺北市,馬耀‧谷木,5,357,11.59%
臺北市,蔡中涵,6,381,12.37%
高雄市,莊金生,1,111,4.02%
高雄市,章仁香,2,580,21.00%
高雄市,楊仁福,3,259,9.38%
高雄市,林正二,4,311,11.26%
高雄市,馬耀‧谷木,5,353,12.78%
高雄市,蔡中涵,6,297,10.75%
臺北縣,莊金生,1,554,4.96%
臺北縣,章仁香,2,1181,10.58%
臺北縣,楊仁福,3,1067,9.56%
臺北縣,林正二,4,538,4.82%
臺北縣,馬耀‧谷木,5,650,5.82%
臺北縣,蔡中涵,6,1284,11.50%
宜蘭縣,莊金生,1,23,3.31%
宜蘭縣,章仁香,2,44,6.33%
宜蘭縣,楊仁福,3,49,7.05%
宜蘭縣,林正二,4,43,6.19%
宜蘭縣,馬耀‧谷木,5,28,4.03%
宜蘭縣,蔡中涵,6,78,11.22%
桃園縣,莊金生,1,692,7.70%
桃園縣,章仁香,2,941,10.47%
桃園縣,楊仁福,3,599,6.66%
桃園縣,林正二,4,733,8.15%
桃園縣,馬耀‧谷木,5,292,3.25%
桃園縣,蔡中涵,6,1289,14.34%
新竹縣,莊金生,1,33,5.53%
新竹縣,章仁香,2,37,6.20%
新竹縣,楊仁福,3,63,10.55%
新竹縣,林正二,4,53,8.88%
新竹縣,馬耀‧谷木,5,38,6.37%
新竹縣,蔡中涵,6,24,4.02%
苗栗縣,莊金生,1,123,5.83%
苗栗縣,章仁香,2,250,11.85%
苗栗縣,楊仁福,3,274,12.99%
苗栗縣,林正二,4,88,4.17%
苗栗縣,馬耀‧谷木,5,48,2.27%
苗栗縣,蔡中涵,6,78,3.70%
臺中縣,莊金生,1,130,6.26%
臺中縣,章仁香,2,148,7.13%
臺中縣,楊仁福,3,343,16.51%
臺中縣,林正二,4,150,7.22%
臺中縣,馬耀‧谷木,5,72,3.47%
臺中縣,蔡中涵,6,106,5.10%
彰化縣,莊金生,1,17,2.53%
彰化縣,章仁香,2,127,18.93%
彰化縣,楊仁福,3,93,13.86%
彰化縣,林正二,4,56,8.35%
彰化縣,馬耀‧谷木,5,26,3.87%
彰化縣,蔡中涵,6,20,2.98%
南投縣,莊金生,1,8,1.59%
南投縣,章仁香,2,66,13.10%
南投縣,楊仁福,3,67,13.29%
南投縣,林正二,4,30,5.95%
南投縣,馬耀‧谷木,5,21,4.17%
南投縣,蔡中涵,6,27,5.36%
雲林縣,莊金生,1,8,4.71%
雲林縣,章仁香,2,33,19.41%
雲林縣,楊仁福,3,11,6.47%
雲林縣,林正二,4,11,6.47%
雲林縣,馬耀‧谷木,5,7,4.12%
雲林縣,蔡中涵,6,3,1.76%
嘉義縣,莊金生,1,3,1.42%
嘉義縣,章仁香,2,53,25.12%
嘉義縣,楊仁福,3,4,1.90%
嘉義縣,林正二,4,24,11.37%
嘉義縣,馬耀‧谷木,5,4,1.90%
嘉義縣,蔡中涵,6,13,6.16%
臺南縣,莊金生,1,7,1.62%
臺南縣,章仁香,2,64,14.78%
臺南縣,楊仁福,3,52,12.01%
臺南縣,林正二,4,29,6.70%
臺南縣,馬耀‧谷木,5,13,3.00%
臺南縣,蔡中涵,6,10,2.31%
高雄縣,莊金生,1,35,3.31%
高雄縣,章仁香,2,84,7.95%
高雄縣,楊仁福,3,103,9.75%
高雄縣,林正二,4,129,12.22%
高雄縣,馬耀‧谷木,5,51,4.83%
高雄縣,蔡中涵,6,50,4.73%
屏東縣,莊金生,1,36,2.17%
屏東縣,章仁香,2,148,8.92%
屏東縣,楊仁福,3,239,14.40%
屏東縣,林正二,4,262,15.78%
屏東縣,馬耀‧谷木,5,30,1.81%
屏東縣,蔡中涵,6,107,6.45%
臺東縣,莊金生,1,1632,3.94%
臺東縣,章仁香,2,7137,17.21%
臺東縣,楊仁福,3,1219,2.94%
臺東縣,林正二,4,6758,16.30%
臺東縣,馬耀‧谷木,5,539,1.30%
臺東縣,蔡中涵,6,3232,7.79%
花蓮縣,莊金生,1,4722,12.68%
花蓮縣,章仁香,2,1265,3.40%
花蓮縣,楊仁福,3,9167,24.62%
花蓮縣,林正二,4,1382,3.71%
花蓮縣,馬耀‧谷木,5,1156,3.10%
花蓮縣,蔡中涵,6,1385,3.72%
澎湖縣,莊金生,1,2,4.76%
澎湖縣,章仁香,2,6,14.29%
澎湖縣,楊仁福,3,2,4.76%
澎湖縣,林正二,4,3,7.14%
澎湖縣,馬耀‧谷木,5,0,0.00%
澎湖縣,蔡中涵,6,3,7.14%
基隆市,莊金生,1,191,5.90%
基隆市,章仁香,2,355,10.97%
基隆市,楊仁福,3,296,9.15%
基隆市,林正二,4,218,6.74%
基隆市,馬耀‧谷木,5,193,5.96%
基隆市,蔡中涵,6,488,15.08%
新竹市,莊金生,1,10,3.06%
