地區,政黨,號次,得票數,得票率
臺北市北投區,公民黨,1,173,0.14%
臺北市北投區,制憲聯盟,2,383,0.32%
臺北市北投區,台灣團結聯盟,3,3999,3.43%
臺北市北投區,第三社會黨,4,593,0.50%
臺北市北投區,民主進步黨,5,42687,36.65%
臺北市北投區,新黨,6,8331,7.15%
臺北市北投區,綠黨,7,1224,1.05%
臺北市北投區,台灣農民黨,8,369,0.31%
臺北市北投區,無黨團結聯盟,9,639,0.54%
臺北市北投區,中國國民黨,10,56769,48.75%
臺北市北投區,紅黨,11,1030,0.88%
臺北市北投區,客家黨,12,249,0.21%
臺北市士林區,公民黨,1,172,0.12%
臺北市士林區,制憲聯盟,2,318,0.23%
臺北市士林區,台灣團結聯盟,3,5220,3.80%
臺北市士林區,第三社會黨,4,836,0.61%
臺北市士林區,民主進步黨,5,53823,39.28%
臺北市士林區,新黨,6,9521,6.94%
臺北市士林區,綠黨,7,1300,0.94%
臺北市士林區,台灣農民黨,8,510,0.37%
臺北市士林區,無黨團結聯盟,9,774,0.56%
臺北市士林區,中國國民黨,10,62992,45.97%
臺北市士林區,紅黨,11,1257,0.91%
臺北市士林區,客家黨,12,286,0.20%
臺北市大同區,公民黨,1,75,0.12%
臺北市大同區,制憲聯盟,2,146,0.24%
臺北市大同區,台灣團結聯盟,3,2469,4.07%
臺北市大同區,第三社會黨,4,398,0.65%
臺北市大同區,民主進步黨,5,28385,46.80%
臺北市大同區,新黨,6,2714,4.47%
臺北市大同區,綠黨,7,472,0.77%
臺北市大同區,台灣農民黨,8,118,0.19%
臺北市大同區,無黨團結聯盟,9,338,0.55%
臺北市大同區,中國國民黨,10,24930,41.10%
臺北市大同區,紅黨,11,505,0.83%
臺北市大同區,客家黨,12,93,0.15%
臺北市中山區,公民黨,1,242,0.23%
臺北市中山區,制憲聯盟,2,82,0.07%
臺北市中山區,台灣團結聯盟,3,3436,3.31%
臺北市中山區,第三社會黨,4,498,0.48%
臺北市中山區,民主進步黨,5,39176,37.81%
臺北市中山區,新黨,6,7684,7.41%
臺北市中山區,綠黨,7,890,0.85%
臺北市中山區,台灣農民黨,8,233,0.22%
臺北市中山區,無黨團結聯盟,9,586,0.56%
臺北市中山區,中國國民黨,10,49603,47.88%
臺北市中山區,紅黨,11,928,0.89%
臺北市中山區,客家黨,12,231,0.22%
臺北市松山區,公民黨,1,161,0.16%
臺北市松山區,制憲聯盟,2,82,0.08%
臺北市松山區,台灣團結聯盟,3,2971,3.00%
臺北市松山區,第三社會黨,4,470,0.47%
臺北市松山區,民主進步黨,5,30622,30.92%
臺北市松山區,新黨,6,11220,11.33%
臺北市松山區,綠黨,7,1083,1.09%
臺北市松山區,台灣農民黨,8,136,0.13%
臺北市松山區,無黨團結聯盟,9,644,0.65%
臺北市松山區,中國國民黨,10,50479,50.97%
臺北市松山區,紅黨,11,926,0.93%
臺北市松山區,客家黨,12,235,0.23%
臺北市內湖區,公民黨,1,133,0.11%
臺北市內湖區,制憲聯盟,2,90,0.07%
臺北市內湖區,台灣團結聯盟,3,3338,2.81%
臺北市內湖區,第三社會黨,4,563,0.47%
臺北市內湖區,民主進步黨,5,36862,31.07%
臺北市內湖區,新黨,6,12078,10.18%
臺北市內湖區,綠黨,7,1039,0.87%
臺北市內湖區,台灣農民黨,8,291,0.24%
臺北市內湖區,無黨團結聯盟,9,731,0.61%
臺北市內湖區,中國國民黨,10,62132,52.37%
臺北市內湖區,紅黨,11,1115,0.93%
臺北市內湖區,客家黨,12,250,0.21%
臺北市南港區,公民黨,1,92,0.17%
臺北市南港區,制憲聯盟,2,90,0.17%
臺北市南港區,台灣團結聯盟,3,1700,3.25%
臺北市南港區,第三社會黨,4,230,0.44%
臺北市南港區,民主進步黨,5,17256,33.07%
臺北市南港區,新黨,6,3993,7.65%
臺北市南港區,綠黨,7,474,0.90%
臺北市南港區,台灣農民黨,8,216,0.41%
臺北市南港區,無黨團結聯盟,9,268,0.51%
臺北市南港區,中國國民黨,10,27244,52.21%
臺北市南港區,紅黨,11,486,0.93%
臺北市南港區,客家黨,12,126,0.24%
臺北市萬華區,公民黨,1,153,0.15%
臺北市萬華區,制憲聯盟,2,114,0.11%
臺北市萬華區,台灣團結聯盟,3,2825,2.91%
臺北市萬華區,第三社會黨,4,567,0.58%
臺北市萬華區,民主進步黨,5,37330,38.52%
臺北市萬華區,新黨,6,6568,6.77%
臺北市萬華區,綠黨,7,622,0.64%
臺北市萬華區,台灣農民黨,8,239,0.24%
臺北市萬華區,無黨團結聯盟,9,468,0.48%
臺北市萬華區,中國國民黨,10,47022,48.52%
