地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
臺北縣,黃福卿,1,男,1937,無,5639,0.31%,,否
臺北縣,周錫瑋,2,男,1958,中國國民黨,988739,54.87%,*,否
臺北縣,陳誠鈞,3,男,1955,無,2812,0.16%,,否
臺北縣,陳俊傑,4,男,1967,無,4064,0.23%,,否
臺北縣,羅文嘉,5,男,1966,民主進步黨,798233,44.30%,,否
臺北縣,黃茂全,6,男,1973,無,2585,0.14%,,否
宜蘭縣,陳定南,1,男,1943,民主進步黨,112853,47.75%,,否
宜蘭縣,謝李靜宜,2,女,1958,無,2020,0.85%,,否
宜蘭縣,呂國華,3,男,1956,中國國民黨,121463,51.39%,*,否
桃園縣,朱立倫,1,男,1961,中國國民黨,488979,60.84%,*,是
桃園縣,鄭寶清,2,男,1955,民主進步黨,307965,38.32%,,否
桃園縣,吳家登,3,男,1959,無,6784,0.84%,,否
新竹縣,林光華,1,男,1945,民主進步黨,77037,32.91%,,否
新竹縣,鄭永金,2,男,1949,中國國民黨,157012,67.09%,*,是
苗栗縣,顏培元,1,男,1951,無,3061,1.09%,,否
苗栗縣,陳秀龍,2,男,1937,無,9718,3.47%,,否
苗栗縣,劉政鴻,3,男,1947,中國國民黨,134277,47.91%,*,否
苗栗縣,邱炳坤,4,男,1950,民主進步黨,83694,29.86%,,否
苗栗縣,徐耀昌,5,男,1955,無,47834,17.07%,,否
苗栗縣,江炳輝,6,男,1929,無,1700,0.61%,,否
臺中縣,邱太三,1,男,1956,民主進步黨,275153,39.12%,,否
臺中縣,黃仲生,2,男,1942,中國國民黨,418144,59.45%,*,是
臺中縣,林振昌,3,男,1967,無,10104,1.44%,,否
彰化縣,翁金珠,1,女,1947,民主進步黨,270949,40.52%,,是
彰化縣,卓伯源,2,男,1965,中國國民黨,370790,55.46%,*,否
彰化縣,陳進丁,3,男,1946,無,26887,4.02%,,否
南投縣,林宗男,1,男,1942,無,60793,22.08%,,是
南投縣,林明溱,2,男,1951,無,6271,2.28%,,否
南投縣,李朝卿,3,男,1950,中國國民黨,124777,45.32%,*,否
南投縣,蔡煌瑯,4,男,1960,民主進步黨,83503,30.33%,,否
雲林縣,林佳瑜,1,男,1959,無,8125,2.16%,,否
雲林縣,蘇治芬,2,女,1953,民主進步黨,201192,53.37%,*,否
雲林縣,許舒博,3,男,1963,中國國民黨,167690,44.48%,,否
嘉義縣,陳明文,1,男,1954,民主進步黨,183476,62.69%,*,是
嘉義縣,陳明振,2,男,1960,中國國民黨,109192,37.31%,,否
臺南縣,郭添財,1,男,1962,中國國民黨,250887,47.16%,,否
臺南縣,張博森,2,男,1948,無,8232,1.55%,,否
臺南縣,蘇煥智,3,男,1956,民主進步黨,267583,50.30%,*,是
臺南縣,蔡四結,4,男,1943,無,5310,1.00%,,否
高雄縣,楊秋興,1,男,1956,民主進步黨,353232,59.14%,*,是
高雄縣,林益世,2,男,1968,中國國民黨,244015,40.86%,,否
屏東縣,曹啟鴻,1,男,1948,民主進步黨,216200,46.19%,*,否
屏東縣,宋麗華,2,女,1968,無,45257,9.67%,,否
屏東縣,王進士,3,男,1948,中國國民黨,195928,41.86%,,否
屏東縣,李景雯,4,男,1928,無,10723,2.29%,,否
臺東縣,劉櫂豪,1,男,1967,無,40173,38.23%,,否
臺東縣,吳俊立,2,男,1962,無,62189,59.18%,*,否
臺東縣,彭權國,3,男,1963,無,2718,2.59%,,否
花蓮縣,柯賜海,1,男,1956,無,20113,12.89%,,否
花蓮縣,盧博基,2,男,1949,民主進步黨,30988,19.86%,,否
花蓮縣,謝深山,3,男,1939,中國國民黨,66575,42.66%,*,是
花蓮縣,傅崐萁,4,男,1962,親民黨,38379,24.59%,,否
澎湖縣,陳光復,1,男,1955,民主進步黨,23964,48.16%,,否
澎湖縣,王乾發,2,男,1949,中國國民黨,25223,50.69%,*,否
澎湖縣,許敬民,3,男,1949,無,572,1.15%,,否
基隆市,陳建銘,1,男,1961,台灣團結聯盟,58243,31.46%,,否
基隆市,許財利,2,男,1947,中國國民黨,76162,41.14%,*,是
基隆市,劉文雄,3,男,1954,親民黨,47932,25.89%,,否
基隆市,王拓,4,男,1944,民主進步黨,2771,1.50%,,否
新竹市,鄭貴元,1,男,1952,民主進步黨,49777,30.73%,,否
新竹市,林政則,2,男,1944,中國國民黨,112221,69.27%,*,是
臺中市,李貴富,1,女,1961,無,1897,0.42%,,否
臺中市,沈智慧,2,女,1957,親民黨,10061,2.23%,,否
臺中市,林佳龍,3,男,1964,民主進步黨,175592,39.00%,,否
臺中市,胡志強,4,男,1948,中國國民黨,262667,58.34%,*,是
嘉義市,陳麗貞,1,女,1958,民主進步黨,62122,45.37%,,是
嘉義市,黃敏惠,2,女,1959,中國國民黨,74786,54.63%,*,否
臺南市,陳榮盛,1,男,1946,中國國民黨,134248,41.40%,,否
臺南市,錢林慧君,2,女,1947,台灣團結聯盟,42000,12.95%,,否
臺南市,許添財,3,男,1951,民主進步黨,148006,45.65%,*,是
金門縣,陳福海,1,男,1963,無,13941,43.59%,,否
金門縣,陳平,2,男,1957,無,682,2.13%,,否
金門縣,李炷烽,3,男,1953,新黨,17358,54.28%,*,是
連江縣,吳軾子,1,男,1959,無,127,2.59%,,否
連江縣,陳雪生,2,男,1952,親民黨,2592,52.90%,*,是
連江縣,楊綏生,3,男,1954,無,2181,44.51%,,否
