地區,政黨,號次,得票數,得票率
臺北市北投區,台灣國民會議,1,1120,0.74%
臺北市北投區,人民最大黨,2,574,0.38%
臺北市北投區,民主進步黨,3,49679,32.93%
臺北市北投區,台灣團結聯盟,4,13933,9.23%
臺北市北投區,中國國民黨,5,68038,45.11%
臺北市北投區,新黨,6,4233,2.80%
臺北市北投區,健保免費連線,7,1274,0.84%
臺北市北投區,綠黨,8,3923,2.60%
臺北市北投區,親民黨,9,7590,5.03%
臺北市北投區,中華民國臺灣基本法連線,10,194,0.12%
臺北市北投區,台灣主義黨,11,266,0.17%
臺北市士林區,台灣國民會議,1,1368,0.78%
臺北市士林區,人民最大黨,2,644,0.36%
臺北市士林區,民主進步黨,3,60154,34.32%
臺北市士林區,台灣團結聯盟,4,18170,10.36%
臺北市士林區,中國國民黨,5,74463,42.49%
臺北市士林區,新黨,6,4765,2.71%
臺北市士林區,健保免費連線,7,1255,0.71%
臺北市士林區,綠黨,8,4380,2.49%
臺北市士林區,親民黨,9,9613,5.48%
臺北市士林區,中華民國臺灣基本法連線,10,161,0.09%
臺北市士林區,台灣主義黨,11,257,0.14%
臺北市大同區,台灣國民會議,1,603,0.77%
臺北市大同區,人民最大黨,2,312,0.40%
臺北市大同區,民主進步黨,3,29894,38.65%
臺北市大同區,台灣團結聯盟,4,9297,12.02%
臺北市大同區,中國國民黨,5,29545,38.20%
臺北市大同區,新黨,6,1346,1.74%
臺北市大同區,健保免費連線,7,604,0.78%
臺北市大同區,綠黨,8,1654,2.13%
臺北市大同區,親民黨,9,3880,5.01%
臺北市大同區,中華民國臺灣基本法連線,10,68,0.08%
臺北市大同區,台灣主義黨,11,137,0.17%
臺北市中山區,台灣國民會議,1,1155,0.84%
臺北市中山區,人民最大黨,2,473,0.34%
臺北市中山區,民主進步黨,3,42378,31.18%
臺北市中山區,台灣團結聯盟,4,13422,9.87%
臺北市中山區,中國國民黨,5,61575,45.31%
臺北市中山區,新黨,6,4128,3.03%
臺北市中山區,健保免費連線,7,958,0.70%
臺北市中山區,綠黨,8,3381,2.48%
臺北市中山區,親民黨,9,8148,5.99%
臺北市中山區,中華民國臺灣基本法連線,10,113,0.08%
臺北市中山區,台灣主義黨,11,163,0.11%
臺北市松山區,台灣國民會議,1,1074,0.86%
臺北市松山區,人民最大黨,2,355,0.28%
臺北市松山區,民主進步黨,3,33905,27.22%
臺北市松山區,台灣團結聯盟,4,9986,8.01%
臺北市松山區,中國國民黨,5,61325,49.24%
臺北市松山區,新黨,6,6079,4.88%
臺北市松山區,健保免費連線,7,663,0.53%
臺北市松山區,綠黨,8,3674,2.95%
臺北市松山區,親民黨,9,7231,5.80%
臺北市松山區,中華民國臺灣基本法連線,10,102,0.08%
臺北市松山區,台灣主義黨,11,131,0.10%
臺北市內湖區,台灣國民會議,1,1142,0.69%
臺北市內湖區,人民最大黨,2,608,0.37%
臺北市內湖區,民主進步黨,3,46363,28.41%
臺北市內湖區,台灣團結聯盟,4,11639,7.13%
臺北市內湖區,中國國民黨,5,81489,49.93%
臺北市內湖區,新黨,6,5839,3.57%
臺北市內湖區,健保免費連線,7,1278,0.78%
臺北市內湖區,綠黨,8,4817,2.95%
臺北市內湖區,親民黨,9,9669,5.92%
臺北市內湖區,中華民國臺灣基本法連線,10,160,0.09%
臺北市內湖區,台灣主義黨,11,175,0.10%
臺北市南港區,台灣國民會議,1,537,0.76%
臺北市南港區,人民最大黨,2,364,0.51%
臺北市南港區,民主進步黨,3,21209,30.14%
臺北市南港區,台灣團結聯盟,4,5384,7.65%
臺北市南港區,中國國民黨,5,33974,48.29%
臺北市南港區,新黨,6,2091,2.97%
臺北市南港區,健保免費連線,7,664,0.94%
臺北市南港區,綠黨,8,1904,2.70%
臺北市南港區,親民黨,9,3974,5.64%
臺北市南港區,中華民國臺灣基本法連線,10,107,0.15%
臺北市南港區,台灣主義黨,11,144,0.20%
臺北市萬華區,台灣國民會議,1,735,0.62%
臺北市萬華區,人民最大黨,2,515,0.43%
臺北市萬華區,民主進步黨,3,38678,32.69%
臺北市萬華區,台灣團結聯盟,4,11986,10.13%
臺北市萬華區,中國國民黨,5,52993,44.78%
臺北市萬華區,新黨,6,3125,2.64%
臺北市萬華區,健保免費連線,7,1262,1.06%
臺北市萬華區,綠黨,8,2370,2.00%
臺北市萬華區,親民黨,9,6291,5.31%
臺北市萬華區,中華民國臺灣基本法連線,10,144,0.12%
臺北市萬華區,台灣主義黨,11,216,0.18%
臺北市中正區,台灣國民會議,1,643,0.69%
臺北市中正區,人民最大黨,2,281,0.30%
臺北市中正區,民主進步黨,3,24810,26.72%
臺北市中正區,台灣團結聯盟,4,7678,8.27%
臺北市中正區,中國國民黨,5,46304,49.88%
臺北市中正區,新黨,6,4016,4.32%
臺北市中正區,健保免費連線,7,605,0.65%
臺北市中正區,綠黨,8,2597,2.79%
臺北市中正區,親民黨,9,5714,6.15%
臺北市中正區,中華民國臺灣基本法連線,10,81,0.08%
臺北市中正區,台灣主義黨,11,93,0.10%
臺北市大安區,台灣國民會議,1,1309,0.71%
臺北市大安區,人民最大黨,2,437,0.23%
臺北市大安區,民主進步黨,3,45708,24.98%
臺北市大安區,台灣團結聯盟,4,13749,7.51%
臺北市大安區,中國國民黨,5,93539,51.13%
臺北市大安區,新黨,6,10188,5.56%
臺北市大安區,健保免費連線,7,993,0.54%
臺北市大安區,綠黨,8,5840,3.19%
臺北市大安區,親民黨,9,10840,5.92%
臺北市大安區,中華民國臺灣基本法連線,10,131,0.07%
臺北市大安區,台灣主義黨,11,179,0.09%
臺北市信義區,台灣國民會議,1,1026,0.74%
臺北市信義區,人民最大黨,2,491,0.35%
