地區,姓名,號次,得票數,得票率
臺北市松山區莊敬里,紀榮治,1,14,0.36%
臺北市松山區莊敬里,趙少康,2,1353,35.02%
臺北市松山區莊敬里,陳水扁,3,1569,40.61%
臺北市松山區莊敬里,黃大洲,4,928,24.02%
臺北市松山區東榮里,紀榮治,1,11,0.21%
臺北市松山區東榮里,趙少康,2,2067,40.27%
臺北市松山區東榮里,陳水扁,3,1972,38.42%
臺北市松山區東榮里,黃大洲,4,1083,21.10%
臺北市松山區三民里,紀榮治,1,9,0.22%
臺北市松山區三民里,趙少康,2,1698,41.96%
臺北市松山區三民里,陳水扁,3,1489,36.79%
臺北市松山區三民里,黃大洲,4,851,21.03%
臺北市松山區新益里,紀榮治,1,7,0.24%
臺北市松山區新益里,趙少康,2,886,30.12%
臺北市松山區新益里,陳水扁,3,1316,44.73%
臺北市松山區新益里,黃大洲,4,733,24.92%
臺北市松山區富錦里,紀榮治,1,8,0.25%
臺北市松山區富錦里,趙少康,2,1272,39.30%
臺北市松山區富錦里,陳水扁,3,1172,36.21%
臺北市松山區富錦里,黃大洲,4,785,24.25%
臺北市松山區新東里,紀榮治,1,8,0.28%
臺北市松山區新東里,趙少康,2,949,32.65%
臺北市松山區新東里,陳水扁,3,1228,42.24%
臺北市松山區新東里,黃大洲,4,722,24.84%
臺北市松山區富泰里,紀榮治,1,3,0.12%
臺北市松山區富泰里,趙少康,2,1145,44.67%
臺北市松山區富泰里,陳水扁,3,867,33.83%
臺北市松山區富泰里,黃大洲,4,548,21.38%
臺北市松山區介壽里,紀榮治,1,9,0.32%
臺北市松山區介壽里,趙少康,2,991,35.23%
臺北市松山區介壽里,陳水扁,3,1238,44.01%
臺北市松山區介壽里,黃大洲,4,575,20.44%
臺北市松山區精忠里,紀榮治,1,3,0.11%
臺北市松山區精忠里,趙少康,2,1083,40.68%
臺北市松山區精忠里,陳水扁,3,995,37.38%
臺北市松山區精忠里,黃大洲,4,581,21.83%
臺北市松山區東光里,紀榮治,1,9,0.20%
臺北市松山區東光里,趙少康,2,1795,39.23%
臺北市松山區東光里,陳水扁,3,1761,38.48%
臺北市松山區東光里,黃大洲,4,1011,22.09%
臺北市松山區龍田里,紀榮治,1,4,0.16%
臺北市松山區龍田里,趙少康,2,1130,46.16%
臺北市松山區龍田里,陳水扁,3,808,33.01%
臺北市松山區龍田里,黃大洲,4,506,20.67%
臺北市松山區東昌里,紀榮治,1,8,0.27%
臺北市松山區東昌里,趙少康,2,983,33.65%
臺北市松山區東昌里,陳水扁,3,1286,44.03%
臺北市松山區東昌里,黃大洲,4,644,22.05%
臺北市松山區東勢里,紀榮治,1,6,0.30%
臺北市松山區東勢里,趙少康,2,704,35.45%
臺北市松山區東勢里,陳水扁,3,878,44.21%
臺北市松山區東勢里,黃大洲,4,398,20.04%
臺北市松山區中華里,紀榮治,1,5,0.19%
臺北市松山區中華里,趙少康,2,1114,41.58%
臺北市松山區中華里,陳水扁,3,904,33.74%
臺北市松山區中華里,黃大洲,4,656,24.49%
臺北市松山區民有里,紀榮治,1,11,0.22%
臺北市松山區民有里,趙少康,2,1520,29.96%
臺北市松山區民有里,陳水扁,3,2311,45.55%
臺北市松山區民有里,黃大洲,4,1232,24.28%
臺北市松山區民福里,紀榮治,1,12,0.31%
臺北市松山區民福里,趙少康,2,1567,39.99%
臺北市松山區民福里,陳水扁,3,1342,34.25%
臺北市松山區民福里,黃大洲,4,997,25.45%
臺北市松山區慈祐里,紀榮治,1,9,0.24%
臺北市松山區慈祐里,趙少康,2,590,16.02%
臺北市松山區慈祐里,陳水扁,3,2140,58.12%
臺北市松山區慈祐里,黃大洲,4,943,25.61%
臺北市松山區安平里,紀榮治,1,16,0.28%
臺北市松山區安平里,趙少康,2,1409,25.02%
臺北市松山區安平里,陳水扁,3,2847,50.56%
臺北市松山區安平里,黃大洲,4,1359,24.13%
臺北市松山區鵬程里,紀榮治,1,5,0.16%
臺北市松山區鵬程里,趙少康,2,1528,48.55%
臺北市松山區鵬程里,陳水扁,3,918,29.17%
臺北市松山區鵬程里,黃大洲,4,696,22.12%
臺北市松山區自強里,紀榮治,1,6,0.14%
臺北市松山區自強里,趙少康,2,2672,63.18%
臺北市松山區自強里,陳水扁,3,759,17.95%
臺北市松山區自強里,黃大洲,4,792,18.73%
臺北市松山區吉祥里,紀榮治,1,9,0.21%
臺北市松山區吉祥里,趙少康,2,1531,35.24%
臺北市松山區吉祥里,陳水扁,3,1829,42.09%
臺北市松山區吉祥里,黃大洲,4,976,22.46%
臺北市松山區新聚里,紀榮治,1,10,0.24%
臺北市松山區新聚里,趙少康,2,1280,30.18%
臺北市松山區新聚里,陳水扁,3,1847,43.55%
臺北市松山區新聚里,黃大洲,4,1104,26.03%
臺北市松山區復盛里,紀榮治,1,12,0.31%
臺北市松山區復盛里,趙少康,2,1419,36.64%
臺北市松山區復盛里,陳水扁,3,1494,38.57%
臺北市松山區復盛里,黃大洲,4,948,24.48%
臺北市松山區中正里,紀榮治,1,9,0.20%
臺北市松山區中正里,趙少康,2,1219,27.30%
臺北市松山區中正里,陳水扁,3,2195,49.16%
臺北市松山區中正里,黃大洲,4,1042,23.34%
臺北市松山區中崙里,紀榮治,1,7,0.29%
臺北市松山區中崙里,趙少康,2,683,28.05%
臺北市松山區中崙里,陳水扁,3,1107,45.46%
臺北市松山區中崙里,黃大洲,4,638,26.20%
臺北市松山區美仁里,紀榮治,1,5,0.23%
臺北市松山區美仁里,趙少康,2,633,29.17%
臺北市松山區美仁里,陳水扁,3,1059,48.80%
臺北市松山區美仁里,黃大洲,4,473,21.80%
臺北市松山區吉仁里,紀榮治,1,2,0.09%
臺北市松山區吉仁里,趙少康,2,678,29.41%
臺北市松山區吉仁里,陳水扁,3,1013,43.95%
臺北市松山區吉仁里,黃大洲,4,612,26.55%
臺北市松山區敦化里,紀榮治,1,17,0.38%
臺北市松山區敦化里,趙少康,2,1308,29.37%
臺北市松山區敦化里,陳水扁,3,2030,45.58%
臺北市松山區敦化里,黃大洲,4,1099,24.67%
臺北市松山區復源里,紀榮治,1,6,0.30%
臺北市松山區復源里,趙少康,2,686,34.11%
臺北市松山區復源里,陳水扁,3,802,39.88%
臺北市松山區復源里,黃大洲,4,517,25.71%
臺北市松山區復建里,紀榮治,1,4,0.21%
臺北市松山區復建里,趙少康,2,622,33.21%
臺北市松山區復建里,陳水扁,3,754,40.26%
臺北市松山區復建里,黃大洲,4,493,26.32%
臺北市松山區復勢里,紀榮治,1,4,0.11%
臺北市松山區復勢里,趙少康,2,994,27.62%
臺北市松山區復勢里,陳水扁,3,1777,49.37%
臺北市松山區復勢里,黃大洲,4,824,22.90%
臺北市松山區福成里,紀榮治,1,4,0.25%
臺北市松山區福成里,趙少康,2,470,29.30%
臺北市松山區福成里,陳水扁,3,738,46.01%
臺北市松山區福成里,黃大洲,4,392,24.44%
臺北市松山區松基里,紀榮治,1,5,0.23%
臺北市松山區松基里,趙少康,2,596,27.00%
臺北市松山區松基里,陳水扁,3,1023,46.35%
臺北市松山區松基里,黃大洲,4,583,26.42%
臺北市信義區西村里,紀榮治,1,4,0.14%
臺北市信義區西村里,趙少康,2,1755,59.41%
臺北市信義區西村里,陳水扁,3,550,18.62%
臺北市信義區西村里,黃大洲,4,645,21.83%
臺北市信義區正和里,紀榮治,1,5,0.17%
臺北市信義區正和里,趙少康,2,1397,47.48%
臺北市信義區正和里,陳水扁,3,912,31.00%
臺北市信義區正和里,黃大洲,4,628,21.35%
臺北市信義區興隆里,紀榮治,1,5,0.27%
臺北市信義區興隆里,趙少康,2,809,44.09%
臺北市信義區興隆里,陳水扁,3,555,30.25%
臺北市信義區興隆里,黃大洲,4,466,25.40%
臺北市信義區中興里,紀榮治,1,2,0.12%
臺北市信義區中興里,趙少康,2,714,41.18%
臺北市信義區中興里,陳水扁,3,642,37.02%
臺北市信義區中興里,黃大洲,4,376,21.68%
臺北市信義區新仁里,紀榮治,1,8,0.30%
臺北市信義區新仁里,趙少康,2,1160,43.41%
臺北市信義區新仁里,陳水扁,3,775,29.00%
臺北市信義區新仁里,黃大洲,4,729,27.28%
臺北市信義區興雅里,紀榮治,1,9,0.24%
臺北市信義區興雅里,趙少康,2,1319,35.10%
臺北市信義區興雅里,陳水扁,3,1492,39.70%
臺北市信義區興雅里,黃大洲,4,938,24.96%
臺北市信義區敦厚里,紀榮治,1,7,0.25%
臺北市信義區敦厚里,趙少康,2,939,32.87%
臺北市信義區敦厚里,陳水扁,3,1140,39.90%
臺北市信義區敦厚里,黃大洲,4,771,26.99%
臺北市信義區廣居里,紀榮治,1,8,0.21%
臺北市信義區廣居里,趙少康,2,1620,41.74%
臺北市信義區廣居里,陳水扁,3,1304,33.60%
臺北市信義區廣居里,黃大洲,4,949,24.45%
臺北市信義區安康里,紀榮治,1,9,0.25%
臺北市信義區安康里,趙少康,2,1330,37.00%
臺北市信義區安康里,陳水扁,3,1330,37.00%
臺北市信義區安康里,黃大洲,4,926,25.76%
臺北市信義區六藝里,紀榮治,1,5,0.21%
臺北市信義區六藝里,趙少康,2,568,24.40%
臺北市信義區六藝里,陳水扁,3,1125,48.32%
臺北市信義區六藝里,黃大洲,4,630,27.06%
臺北市信義區雅祥里,紀榮治,1,11,0.35%
臺北市信義區雅祥里,趙少康,2,748,24.10%
臺北市信義區雅祥里,陳水扁,3,1578,50.84%
臺北市信義區雅祥里,黃大洲,4,767,24.71%
臺北市信義區五常里,紀榮治,1,6,0.26%
臺北市信義區五常里,趙少康,2,673,28.71%
臺北市信義區五常里,陳水扁,3,1035,44.16%
臺北市信義區五常里,黃大洲,4,630,26.88%
臺北市信義區五全里,紀榮治,1,12,0.36%
臺北市信義區五全里,趙少康,2,816,24.60%
臺北市信義區五全里,陳水扁,3,1636,49.32%
臺北市信義區五全里,黃大洲,4,853,25.72%
臺北市信義區永吉里,紀榮治,1,9,0.31%
臺北市信義區永吉里,趙少康,2,469,16.22%
臺北市信義區永吉里,陳水扁,3,1621,56.05%
臺北市信義區永吉里,黃大洲,4,793,27.42%
臺北市信義區長春里,紀榮治,1,10,0.33%
臺北市信義區長春里,趙少康,2,795,26.33%
臺北市信義區長春里,陳水扁,3,1410,46.70%
臺北市信義區長春里,黃大洲,4,804,26.63%
臺北市信義區四育里,紀榮治,1,10,0.27%
臺北市信義區四育里,趙少康,2,864,22.91%
臺北市信義區四育里,陳水扁,3,1931,51.19%
臺北市信義區四育里,黃大洲,4,967,25.64%
臺北市信義區四維里,紀榮治,1,12,0.33%
臺北市信義區四維里,趙少康,2,1203,33.00%
臺北市信義區四維里,陳水扁,3,1409,38.66%
臺北市信義區四維里,黃大洲,4,1021,28.01%
臺北市信義區永春里,紀榮治,1,11,0.30%
臺北市信義區永春里,趙少康,2,950,26.24%
臺北市信義區永春里,陳水扁,3,1799,49.68%
臺北市信義區永春里,黃大洲,4,861,23.78%
臺北市信義區富台里,紀榮治,1,7,0.29%
臺北市信義區富台里,趙少康,2,1247,51.51%
臺北市信義區富台里,陳水扁,3,552,22.80%
臺北市信義區富台里,黃大洲,4,615,25.40%
臺北市信義區國業里,紀榮治,1,17,0.41%
臺北市信義區國業里,趙少康,2,1559,37.64%
臺北市信義區國業里,陳水扁,3,1626,39.26%
臺北市信義區國業里,黃大洲,4,940,22.69%
臺北市信義區松隆里,紀榮治,1,9,0.53%
臺北市信義區松隆里,趙少康,2,523,30.86%
臺北市信義區松隆里,陳水扁,3,684,40.35%
臺北市信義區松隆里,黃大洲,4,479,28.26%
臺北市信義區松友里,紀榮治,1,14,0.38%
臺北市信義區松友里,趙少康,2,1406,37.71%
臺北市信義區松友里,陳水扁,3,1376,36.91%
臺北市信義區松友里,黃大洲,4,932,25.00%
臺北市信義區松光里,紀榮治,1,12,0.33%
臺北市信義區松光里,趙少康,2,1091,29.73%
臺北市信義區松光里,陳水扁,3,1567,42.70%
臺北市信義區松光里,黃大洲,4,1000,27.25%
臺北市信義區中坡里,紀榮治,1,10,0.33%
臺北市信義區中坡里,趙少康,2,969,32.17%
臺北市信義區中坡里,陳水扁,3,1276,42.36%
臺北市信義區中坡里,黃大洲,4,757,25.13%
臺北市信義區中行里,紀榮治,1,14,0.28%
臺北市信義區中行里,趙少康,2,1527,30.38%
臺北市信義區中行里,陳水扁,3,2206,43.88%
臺北市信義區中行里,黃大洲,4,1280,25.46%
臺北市信義區大道里,紀榮治,1,19,0.46%
臺北市信義區大道里,趙少康,2,1244,30.30%
臺北市信義區大道里,陳水扁,3,1790,43.59%
臺北市信義區大道里,黃大洲,4,1053,25.65%
臺北市信義區大仁里,紀榮治,1,39,0.95%
臺北市信義區大仁里,趙少康,2,1346,32.91%
臺北市信義區大仁里,陳水扁,3,1352,33.06%
