地區,政黨,號次,得票數,得票率
臺北市,公民黨,1,1565,0.12%
臺北市,制憲聯盟,2,1722,0.13%
臺北市,台灣團結聯盟,3,38741,3.12%
臺北市,第三社會黨,4,6785,0.54%
臺北市,民主進步黨,5,411574,33.14%
臺北市,新黨,6,116635,9.39%
臺北市,綠黨,7,12554,1.01%
臺北市,台灣農民黨,8,3082,0.24%
臺北市,無黨團結聯盟,9,7225,0.58%
臺北市,中國國民黨,10,627591,50.54%
臺北市,紅黨,11,11412,0.91%
臺北市,客家黨,12,2796,0.22%
高雄市,公民黨,1,3323,0.48%
高雄市,制憲聯盟,2,1261,0.18%
高雄市,台灣團結聯盟,3,28227,4.11%
高雄市,第三社會黨,4,2291,0.33%
高雄市,民主進步黨,5,297453,43.31%
高雄市,新黨,6,21222,3.09%
高雄市,綠黨,7,3350,0.48%
高雄市,台灣農民黨,8,2089,0.30%
高雄市,無黨團結聯盟,9,3606,0.52%
高雄市,中國國民黨,10,317410,46.21%
高雄市,紅黨,11,5024,0.73%
高雄市,客家黨,12,1487,0.21%
臺北縣,公民黨,1,5459,0.33%
臺北縣,制憲聯盟,2,2779,0.16%
臺北縣,台灣團結聯盟,3,51636,3.13%
臺北縣,第三社會黨,4,8349,0.50%
臺北縣,民主進步黨,5,589145,35.73%
臺北縣,新黨,6,95303,5.78%
臺北縣,綠黨,7,11121,0.67%
臺北縣,台灣農民黨,8,5439,0.32%
臺北縣,無黨團結聯盟,9,9750,0.59%
臺北縣,中國國民黨,10,850650,51.59%
臺北縣,紅黨,11,14288,0.86%
臺北縣,客家黨,12,4917,0.29%
宜蘭縣,公民黨,1,1671,0.93%
宜蘭縣,制憲聯盟,2,943,0.52%
宜蘭縣,台灣團結聯盟,3,5382,3.00%
宜蘭縣,第三社會黨,4,776,0.43%
宜蘭縣,民主進步黨,5,77931,43.56%
宜蘭縣,新黨,6,3754,2.09%
宜蘭縣,綠黨,7,1014,0.56%
宜蘭縣,台灣農民黨,8,908,0.50%
宜蘭縣,無黨團結聯盟,9,1025,0.57%
宜蘭縣,中國國民黨,10,83859,46.88%
宜蘭縣,紅黨,11,1319,0.73%
宜蘭縣,客家黨,12,290,0.16%
桃園縣,公民黨,1,2720,0.35%
桃園縣,制憲聯盟,2,2134,0.27%
桃園縣,台灣團結聯盟,3,20945,2.71%
桃園縣,第三社會黨,4,3111,0.40%
桃園縣,民主進步黨,5,244897,31.72%
桃園縣,新黨,6,30982,4.01%
桃園縣,綠黨,7,3668,0.47%
桃園縣,台灣農民黨,8,2856,0.37%
桃園縣,無黨團結聯盟,9,4468,0.57%
桃園縣,中國國民黨,10,440705,57.09%
桃園縣,紅黨,11,7144,0.92%
桃園縣,客家黨,12,8220,1.06%
新竹縣,公民黨,1,1059,0.54%
新竹縣,制憲聯盟,2,322,0.16%
新竹縣,台灣團結聯盟,3,4092,2.09%
新竹縣,第三社會黨,4,910,0.46%
新竹縣,民主進步黨,5,40917,20.96%
新竹縣,新黨,6,5525,2.83%
新竹縣,綠黨,7,1027,0.52%
新竹縣,台灣農民黨,8,1362,0.69%
新竹縣,無黨團結聯盟,9,1692,0.86%
新竹縣,中國國民黨,10,131329,67.29%
新竹縣,紅黨,11,1924,0.98%
新竹縣,客家黨,12,4985,2.55%
苗栗縣,公民黨,1,1828,0.77%
苗栗縣,制憲聯盟,2,788,0.33%
苗栗縣,台灣團結聯盟,3,4993,2.11%
苗栗縣,第三社會黨,4,1000,0.42%
苗栗縣,民主進步黨,5,59992,25.39%
苗栗縣,新黨,6,5187,2.19%
苗栗縣,綠黨,7,864,0.36%
苗栗縣,台灣農民黨,8,1379,0.58%
苗栗縣,無黨團結聯盟,9,1269,0.53%
苗栗縣,中國國民黨,10,152681,64.62%
苗栗縣,紅黨,11,1806,0.76%
苗栗縣,客家黨,12,4473,1.89%
臺中縣,公民黨,1,3281,0.53%
臺中縣,制憲聯盟,2,2851,0.46%
臺中縣,台灣團結聯盟,3,23934,3.86%
臺中縣,第三社會黨,4,2604,0.42%
臺中縣,民主進步黨,5,223773,36.15%
臺中縣,新黨,6,13139,2.12%
臺中縣,綠黨,7,3208,0.51%
臺中縣,台灣農民黨,8,4390,0.70%
