地區,政黨,號次,得票數,得票率
臺北市,台灣國民會議,1,12156,0.76%
臺北市,人民最大黨,2,5609,0.35%
臺北市,民主進步黨,3,467072,29.37%
臺北市,台灣團結聯盟,4,135335,8.51%
臺北市,中國國民黨,5,759724,47.78%
臺北市,新黨,6,60384,3.79%
臺北市,健保免費連線,7,11502,0.72%
臺北市,綠黨,8,44050,2.77%
臺北市,親民黨,9,90303,5.68%
臺北市,中華民國臺灣基本法連線,10,1552,0.09%
臺北市,台灣主義黨,11,2117,0.13%
新北市,台灣國民會議,1,17859,0.77%
新北市,人民最大黨,2,12618,0.55%
新北市,民主進步黨,3,767350,33.47%
新北市,台灣團結聯盟,4,184069,8.03%
新北市,中國國民黨,5,1049079,45.76%
新北市,新黨,6,46701,2.03%
新北市,健保免費連線,7,26835,1.17%
新北市,綠黨,8,46706,2.03%
新北市,親民黨,9,133904,5.84%
新北市,中華民國臺灣基本法連線,10,2752,0.12%
新北市,台灣主義黨,11,4314,0.18%
臺中市,台灣國民會議,1,13516,0.90%
臺中市,人民最大黨,2,9769,0.65%
臺中市,民主進步黨,3,501377,33.46%
臺中市,台灣團結聯盟,4,132986,8.87%
臺中市,中國國民黨,5,676657,45.16%
臺中市,新黨,6,15498,1.03%
臺中市,健保免費連線,7,25449,1.69%
臺中市,綠黨,8,26585,1.77%
臺中市,親民黨,9,90259,6.02%
臺中市,中華民國臺灣基本法連線,10,2687,0.17%
臺中市,台灣主義黨,11,3300,0.22%
臺南市,台灣國民會議,1,10733,0.99%
臺南市,人民最大黨,2,6639,0.61%
臺南市,民主進步黨,3,481086,44.60%
臺南市,台灣團結聯盟,4,120803,11.20%
臺南市,中國國民黨,5,377636,35.01%
臺南市,新黨,6,6605,0.61%
臺南市,健保免費連線,7,11487,1.06%
臺南市,綠黨,8,15716,1.45%
臺南市,親民黨,9,43696,4.05%
臺南市,中華民國臺灣基本法連線,10,1607,0.14%
臺南市,台灣主義黨,11,2526,0.23%
高雄市,台灣國民會議,1,13618,0.83%
高雄市,人民最大黨,2,9084,0.55%
高雄市,民主進步黨,3,630158,38.57%
高雄市,台灣團結聯盟,4,211086,12.92%
高雄市,中國國民黨,5,637031,38.99%
高雄市,新黨,6,13152,0.80%
高雄市,健保免費連線,7,18744,1.14%
高雄市,綠黨,8,24095,1.47%
高雄市,親民黨,9,70769,4.33%
高雄市,中華民國臺灣基本法連線,10,2113,0.12%
高雄市,台灣主義黨,11,3631,0.22%
宜蘭縣,台灣國民會議,1,2603,1.02%
宜蘭縣,人民最大黨,2,2033,0.80%
宜蘭縣,民主進步黨,3,109897,43.42%
宜蘭縣,台灣團結聯盟,4,18572,7.33%
宜蘭縣,中國國民黨,5,98838,39.05%
