地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
臺北市,吳炎成,1,男,1942,無黨籍及未經政黨推薦,1832,0.12%,,否
臺北市,郝龍斌,2,男,1952,中國國民黨,797865,55.64%,*,是
臺北市,蕭淑華,3,女,1961,無黨籍及未經政黨推薦,2238,0.15%,,否
臺北市,吳武明,4,男,1957,無黨籍及未經政黨推薦,3672,0.25%,,否
臺北市,蘇貞昌,5,男,1947,民主進步黨,628129,43.81%,,否
新北市,朱立倫,1,男,1961,中國國民黨,1115536,52.60%,*,否
新北市,蔡英文,2,女,1956,民主進步黨,1004900,47.39%,,否
臺中市,蘇嘉全,1,男,1956,民主進步黨,698358,48.88%,,否
臺中市,胡志強,2,男,1948,中國國民黨,730284,51.11%,*,否
臺南市,郭添財,1,男,1962,中國國民黨,406196,39.58%,,否
臺南市,賴清德,2,男,1959,民主進步黨,619897,60.41%,*,否
高雄市,楊秋興,1,男,1956,無黨籍及未經政黨推薦,414950,26.68%,,否
高雄市,黃昭順,2,女,1953,中國國民黨,319171,20.52%,,否
高雄市,陳菊,3,女,1950,民主進步黨,821089,52.79%,*,否
