area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num,election_id
連江縣南竿鄉介壽村,1,陳春開,民主進步黨,m,0440621,67,金馬地區,高中(職)以下,N,N,508,62053693-8778-440d-a303-1619acb5b862
連江縣南竿鄉介壽村,2,陳美貴,中國國民黨,m,0520630,59,金馬地區,高中(職)以下,Y,Y,830,62053693-8778-440d-a303-1619acb5b862
連江縣南竿鄉復興村,1,曹爾嵐,中國國民黨,m,0450325,66,金馬地區,高中(職)以下,Y,Y,528,62053693-26f0-4503-b9c3-1619acb5b862
連江縣南竿鄉福沃村,1,陳泰英,中國國民黨,m,0460909,65,金馬地區,高中(職)以下,Y,N,266,62053693-0eb4-4c1f-ab54-1619acb5b862
連江縣南竿鄉福沃村,2,陳震森,中國國民黨,m,0671106,43,金馬地區,高中(職),N,Y,273,62053693-0eb4-4c1f-ab54-1619acb5b862
連江縣南竿鄉清水村,1,陳善安,中國國民黨,m,0530917,58,金馬地區,高中(職),Y,Y,543,62053693-11a4-485a-a7e6-1619acb5b862
連江縣南竿鄉清水村,2,周治孝,無黨籍及未經政黨推薦,m,0750412,36,桃園市,大學,N,N,186,62053693-11a4-485a-a7e6-1619acb5b862
連江縣南竿鄉仁愛村,1,黃寶清,中國國民黨,m,0550530,56,金馬地區,高中(職)以下,Y,Y,321,62053693-815c-4241-82b7-1619acb5b862
連江縣南竿鄉津沙村,1,劉用順,無黨籍及未經政黨推薦,m,0510304,60,金馬地區,高中(職)以下,Y,Y,258,62053694-71f8-40ef-8bfc-1619acb5b862
連江縣南竿鄉馬祖村,1,陳智偉,中國國民黨,m,0681108,42,金馬地區,大學,Y,Y,290,62053694-2064-4917-87c6-1619acb5b862
連江縣南竿鄉珠螺村,1,陳常玉,中國國民黨,m,0491218,61,其他省市,高中(職)以下,Y,Y,152,62053694-c0f0-426f-8432-1619acb5b862
連江縣南竿鄉四維村,1,侯全寶,中國國民黨,m,0440515,67,金馬地區,大學,N,Y,100,62053694-f5e8-47f1-801d-1619acb5b862
